league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
AUT-Bundesliga,2024-25,Austria Wien,Abubakr Barry,GAM,MF,24,2000,30,27,2147,23.9,1,3,4,1,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0.04,0.13,0.17,0.04,0.17,0.0,0.0,0.0,0.0,0.0,standard,GAM,MF,24,2000,23.9,1,22,7,31.8,0.92,0.29,0.05,0.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GAM,MF,24,2000,23.9,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,GAM,MF,24,2000,23.9,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,passing_types,GAM,MF,24,2000,23.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GAM,MF,24,2000,23.9,0,52,0,0,0,0,0,0.0,0,0,0,0,23,0,0,0,defense,GAM,MF,24,2000,23.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GAM,MF,24,2000,30,2147,72,74.5,23.9,27,76,7,3,33,0,1.8,34,23,11,0.46,-0.03,0.0,0.0,0.0,0.0,0.0,playing_time,GAM,MF,24,2000,23.9,8,0,0,42,42,1,26,23,52,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Austria Wien,Abubakr Barry,GAM,MF,25-070,2000,5,4,380,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GAM,MF,25-070,2000,4.2,0,3,1,33.3,0.71,0.24,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GAM,MF,25-070,2000,4.2,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GAM,MF,25-070,2000,4.2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,GAM,MF,25-070,2000,4.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GAM,MF,25-070,2000,4.2,0,3,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,defense,GAM,MF,25-070,2000,4.2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GAM,MF,25-070,2000,5,380,76,84.4,4.2,4,86,2,1,35,0,0.8,4,7,-3,-0.71,0.58,0.0,0.0,0.0,0.0,0.0,playing_time,GAM,MF,25-070,2000,4.2,2,0,0,7,11,1,4,1,3,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Austria Wien,Aleksandar Dragović,AUT,DF,33,1991,29,29,2507,27.9,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,DF,33,1991,27.9,0,10,2,20.0,0.36,0.07,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,DF,33,1991,27.9,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,DF,33,1991,27.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,passing_types,AUT,DF,33,1991,27.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,DF,33,1991,27.9,0,19,0,0,0,0,0,0.0,0,0,0,0,39,0,0,0,defense,AUT,DF,33,1991,27.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,DF,33,1991,29,2507,86,87.0,27.9,29,86,25,0,0,0,1.93,42,28,14,0.5,0.26,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,DF,33,1991,27.9,8,0,0,19,18,1,1,39,19,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Austria Wien,Aleksandar Dragović,AUT,DF,34-188,1991,3,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,DF,34-188,1991,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,DF,34-188,1991,2.6,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,DF,34-188,1991,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,passing_types,AUT,DF,34-188,1991,2.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,DF,34-188,1991,2.6,0,1,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,defense,AUT,DF,34-188,1991,2.6,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,DF,34-188,1991,3,238,79,52.9,2.6,3,79,2,0,0,0,1.33,3,3,0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,DF,34-188,1991,2.6,0,0,0,1,3,0,1,2,1,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Aleksandar Jukic,AUT,"MF,FW",23,2000,16,8,842,9.4,0,2,2,0,0,1,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,FW",23,2000,9.4,0,15,3,20.0,1.6,0.32,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,FW",23,2000,9.4,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,FW",23,2000,9.4,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,FW",23,2000,9.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,FW",23,2000,9.4,0,15,0,0,0,0,0,0.0,0,0,0,0,9,0,0,0,defense,AUT,"MF,FW",23,2000,9.4,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,FW",23,2000,16,842,53,29.2,9.4,8,80,2,8,26,0,1.25,9,2,7,0.75,1.01,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,FW",23,2000,9.4,4,0,0,7,8,1,45,9,15,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Alexander Schmidt,AUT,"FW,MF",25,1998,18,4,460,5.1,3,0,3,3,0,1,2,0,0.0,0.0,0.0,0.0,0,0,0,0.59,0.0,0.59,0.59,0.59,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",25,1998,5.1,3,15,7,46.7,2.93,1.37,0.2,0.43,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",25,1998,5.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",25,1998,5.1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",25,1998,5.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",25,1998,5.1,0,3,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,defense,AUT,"FW,MF",25,1998,5.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",25,1998,18,460,26,16.0,5.1,4,65,1,14,14,4,1.71,8,5,3,0.59,0.66,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",25,1998,5.1,2,0,0,16,4,4,4,1,3,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Andreas Gruber,AUT,"FW,MF",28,1995,31,27,2261,25.1,11,3,14,11,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.44,0.12,0.56,0.44,0.56,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",28,1995,25.1,11,75,32,42.7,2.99,1.27,0.15,0.34,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",28,1995,25.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",28,1995,25.1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",28,1995,25.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",28,1995,25.1,0,11,0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,defense,AUT,"FW,MF",28,1995,25.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",28,1995,31,2261,73,78.5,25.1,27,79,8,4,34,0,1.53,23,23,0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",28,1995,25.1,4,0,0,30,41,16,31,7,11,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Austria Wien,Andreas Gruber,AUT,"MF,FW",29,1995,29,13,1326,14.7,5,3,8,5,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.34,0.2,0.54,0.34,0.54,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,FW",29,1995,14.7,5,41,16,39.0,2.78,1.09,0.12,0.31,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,FW",29,1995,14.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,FW",29,1995,14.7,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,FW",29,1995,14.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,FW",29,1995,14.7,0,6,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,defense,AUT,"MF,FW",29,1995,14.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,FW",29,1995,29,1326,46,46.0,14.7,13,78,4,16,19,0,2.03,26,15,11,0.75,0.51,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,FW",29,1995,14.7,2,0,0,18,17,3,38,4,6,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Ayi Kangni-Soukpe,ISR,FW,20,2003,4,0,92,1.0,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.98,0.98,0.0,0.98,0.0,0.0,0.0,0.0,0.0,standard,ISR,FW,20,2003,1.0,0,1,0,0.0,0.98,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,ISR,FW,20,2003,1.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,ISR,FW,20,2003,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,passing_types,ISR,FW,20,2003,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,ISR,FW,20,2003,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,ISR,FW,20,2003,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,ISR,FW,20,2003,4,92,23,3.2,1.0,0,0,0,4,23,0,1.0,1,1,0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,playing_time,ISR,FW,20,2003,1.0,1,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Christian Früchtl,GER,GK,23,2000,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,23,2000,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GER,GK,23,2000,29.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,GK,23,2000,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,GER,GK,23,2000,29.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,GK,23,2000,29.0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,GER,GK,23,2000,29.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GER,GK,23,2000,29,2610,90,90.6,29.0,29,90,29,0,0,0,1.53,30,29,1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,playing_time,GER,GK,23,2000,29.0,1,0,0,1,9,0,0,0,2,0,0,0,0,0,0,0.0,misc,GER,GK,23,2000,29,29,2610,29.0,29,1.0,86,65,72.1,10,10,9,12,41.4,8,5,3,0,37.5,keeper,GER,GK,23,2000,29.0,29,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
