league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
BEL-Belgian Pro League,2025-26,Anderlecht,Adriano Bertaccini,BEL,FW,25-028,2000,3,1,135,1.5,1,0,1,1,0,0,0,0,1.3,1.3,0.2,1.5,2,2,7,0.67,0.0,0.67,0.67,0.67,0.89,0.14,1.03,0.89,1.03,standard,BEL,FW,25-028,2000,1.5,1,4,2,50.0,2.67,1.33,0.25,0.5,16.9,0,0,0,1.3,1.3,0.33,-0.3,-0.3,shooting,BEL,FW,25-028,2000,1.5,18,29,62.1,193,52,13,17,76.5,3,7,42.9,0,2,0.0,0,0.2,0.0,-0.2,1,1,1,0,2,passing,BEL,FW,25-028,2000,1.5,29,28,1,0,0,0,3,0,0,0,0,0,18,0,0,passing_types,BEL,FW,25-028,2000,1.5,3,2.0,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,FW,25-028,2000,1.5,2,2,0,1,1,0,0,0.0,0,0,0,0,1,3,1,0,defense,BEL,FW,25-028,2000,1.5,44,0,2,15,29,5,44,1,0,0.0,1,100.0,30,113,40,2,2,1,5,5,32,7,possession,BEL,FW,25-028,2000,3,135,45,30.0,1.5,1,60,0,2,38,0,2.0,3,2,1,0.67,-0.19,3.3,1.6,1.7,1.15,0.71,playing_time,BEL,FW,25-028,2000,1.5,0,0,0,5,1,0,3,1,2,0,0,0,2,0,5,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Anderlecht,Adryelson,BRA,DF,26,1998,7,6,542,6.0,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,27,1,0.17,0.0,0.17,0.17,0.17,0.05,0.02,0.07,0.05,0.07,standard,BRA,DF,26,1998,6.0,1,5,3,60.0,0.83,0.5,0.2,0.33,15.5,0,0,0,0.3,0.3,0.06,0.7,0.7,shooting,BRA,DF,26,1998,6.0,315,366,86.1,5955,1922,107,123,87.0,185,200,92.5,21,37,56.8,0,0.1,0.1,-0.1,2,18,1,0,27,passing,BRA,DF,26,1998,6.0,366,351,14,10,0,1,1,1,0,0,0,0,315,1,2,passing_types,BRA,DF,26,1998,6.0,4,0.66,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,DF,26,1998,6.0,7,4,7,0,0,6,6,100.0,0,5,3,2,5,12,47,0,defense,BRA,DF,26,1998,6.0,445,49,192,234,20,7,445,1,1,100.0,0,0.0,302,1509,678,2,2,0,3,0,296,1,possession,BRA,DF,26,1998,7,542,77,20.1,6.0,6,89,5,1,6,2,1.5,11,4,7,1.16,0.5,7.9,7.0,0.9,0.15,0.09,playing_time,BRA,DF,26,1998,6.0,0,0,0,0,4,0,1,5,4,0,0,0,16,12,13,48.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Anderlecht,Alexis Flips,FRA,"FW,MF",23,2000,12,5,381,4.2,0,0,0,0,0,0,2,0,0.5,0.5,0.6,1.1,10,19,42,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,standard,FRA,"FW,MF",23,2000,4.2,0,13,3,23.1,3.07,0.71,0.0,0.0,25.3,2,0,0,0.5,0.5,0.04,-0.5,-0.5,shooting,FRA,"FW,MF",23,2000,4.2,136,192,70.8,2238,669,60,75,80.0,56,72,77.8,10,30,33.3,0,0.6,1.5,-0.6,9,8,5,3,19,passing,FRA,"FW,MF",23,2000,4.2,192,168,21,6,2,2,30,3,10,6,2,0,136,3,2,passing_types,FRA,"FW,MF",23,2000,4.2,20,4.72,8,8,1,0,3,0,1,0.24,1,0,0,0,0,0,goal_shot_creation,FRA,"FW,MF",23,2000,4.2,14,8,3,6,5,9,22,40.9,13,5,0,5,3,17,0,0,defense,FRA,"FW,MF",23,2000,4.2,256,2,21,90,150,17,256,8,4,50.0,3,37.5,188,1015,432,10,9,2,19,5,174,42,possession,FRA,"FW,MF",23,2000,12,381,32,14.1,4.2,5,67,0,7,7,6,2.08,4,5,-1,-0.24,-1.36,5.2,5.9,-0.7,-0.18,-0.64,playing_time,FRA,"FW,MF",23,2000,4.2,2,0,0,7,5,0,30,3,8,0,0,0,21,1,9,10.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Anderlecht,Alexis Flips,FRA,FW,24,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,FW,24,2000,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,FRA,FW,24,2000,0.0,1,3,33.3,12,1,1,2,50.0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,FW,24,2000,0.0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,passing_types,FRA,FW,24,2000,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,FW,24,2000,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,FRA,FW,24,2000,0.0,3,0,0,0,3,0,3,0,0,0.0,0,0.0,3,8,0,0,0,0,0,0,3,1,possession,FRA,FW,24,2000,1,1,1,0.0,0.0,0,0,0,1,1,1,3.0,0,0,0,0.0,-0.77,0.0,0.0,0.0,0.0,-0.07,playing_time,FRA,FW,24,2000,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Anderlecht,Ali Maamar,MAR,"DF,MF",19,2005,6,5,425,4.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,11,13,21,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,MAR,"DF,MF",19,2005,4.7,0,3,0,0.0,0.64,0.0,0.0,0.0,15.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,shooting,MAR,"DF,MF",19,2005,4.7,192,240,80.0,3134,780,88,99,88.9,85,101,84.2,10,26,38.5,0,0.0,0.1,0.0,0,11,0,0,13,passing,MAR,"DF,MF",19,2005,4.7,240,198,41,1,0,0,7,40,0,0,0,0,192,1,5,passing_types,MAR,"DF,MF",19,2005,4.7,6,1.27,5,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,MAR,"DF,MF",19,2005,4.7,12,6,8,3,1,6,9,66.7,3,4,1,3,2,14,11,0,defense,MAR,"DF,MF",19,2005,4.7,299,14,84,130,86,6,299,20,7,35.0,13,65.0,195,1528,519,11,13,1,7,4,181,21,possession,MAR,"DF,MF",19,2005,6,425,71,15.7,4.7,5,83,3,1,11,4,1.47,5,4,1,0.21,-0.66,5.1,5.0,0.1,0.02,-0.07,playing_time,MAR,"DF,MF",19,2005,4.7,2,0,0,4,5,1,7,2,6,0,0,0,23,5,6,45.5,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Anderlecht,Ali Maamar,MAR,DF,20-171,2005,4,4,240,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,18,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,MAR,DF,20-171,2005,2.7,0,2,0,0.0,0.75,0.0,0.0,0.0,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,MAR,DF,20-171,2005,2.7,102,132,77.3,1531,359,60,66,90.9,36,43,83.7,3,15,20.0,0,0.0,0.4,0.0,1,5,2,0,7,passing,MAR,DF,20-171,2005,2.7,132,105,27,2,1,0,8,25,0,0,0,0,102,0,4,passing_types,MAR,DF,20-171,2005,2.7,2,0.75,2,0,0,0,0,0,1,0.37,1,0,0,0,0,0,goal_shot_creation,MAR,DF,20-171,2005,2.7,2,1,0,1,1,0,0,0.0,0,2,0,2,3,5,5,0,defense,MAR,DF,20-171,2005,2.7,158,5,37,68,55,3,158,5,2,40.0,3,60.0,98,447,231,5,4,1,3,4,98,18,possession,MAR,DF,20-171,2005,4,240,60,53.3,2.7,4,60,1,0,0,1,2.25,5,1,4,1.5,1.5,4.8,2.6,2.2,0.83,0.37,playing_time,MAR,DF,20-171,2005,2.7,0,0,0,3,1,0,8,3,1,0,0,0,10,2,7,22.2,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Anderlecht,Amadou Diawara,GUI,MF,26,1997,11,6,594,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,5,27,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,GUI,MF,26,1997,6.6,0,4,0,0.0,0.61,0.0,0.0,0.0,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,GUI,MF,26,1997,6.6,235,278,84.5,4173,1112,93,103,90.3,115,132,87.1,18,32,56.3,0,0.0,0.2,0.0,3,23,1,0,27,passing,GUI,MF,26,1997,6.6,278,275,3,3,1,1,0,0,0,0,0,0,235,0,2,passing_types,GUI,MF,26,1997,6.6,9,1.37,9,0,0,0,0,0,2,0.3,2,0,0,0,0,0,goal_shot_creation,GUI,MF,26,1997,6.6,17,8,10,6,1,12,14,85.7,2,2,0,2,12,29,8,0,defense,GUI,MF,26,1997,6.6,341,22,116,179,48,5,341,3,0,0.0,3,100.0,229,1099,346,5,5,1,4,6,194,3,possession,GUI,MF,26,1997,11,594,54,22.0,6.6,6,87,3,5,14,5,2.18,10,7,3,0.45,-0.61,8.2,8.5,-0.3,-0.04,-0.53,playing_time,GUI,MF,26,1997,6.6,1,0,0,9,8,0,0,12,8,0,0,0,63,6,2,75.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Anderlecht,Amando Lapage,BEL,DF,19,2004,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BEL,DF,19,2004,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BEL,DF,19,2004,1.1,68,79,86.1,1307,333,18,21,85.7,47,50,94.0,3,8,37.5,0,0.0,0.0,0.0,0,4,0,0,6,passing,BEL,DF,19,2004,1.1,79,73,6,2,0,0,0,1,0,0,0,0,68,0,0,passing_types,BEL,DF,19,2004,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,DF,19,2004,1.1,3,1,3,0,0,3,3,100.0,0,1,0,1,1,4,6,0,defense,BEL,DF,19,2004,1.1,91,14,46,42,3,0,91,0,0,0.0,0,0.0,66,358,191,1,3,0,0,0,64,1,possession,BEL,DF,19,2004,2,96,48,3.6,1.1,1,90,1,1,6,9,1.5,0,3,-3,-2.81,-3.71,1.1,1.5,-0.4,-0.33,-0.42,playing_time,BEL,DF,19,2004,1.1,0,0,0,2,0,0,0,1,1,0,0,0,3,1,0,100.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Anderlecht,Anders Dreyer,DEN,"FW,MF",25,1998,28,26,2240,24.9,15,8,23,12,3,3,2,1,10.5,8.1,6.1,14.3,73,107,209,0.6,0.32,0.92,0.48,0.8,0.42,0.25,0.67,0.33,0.57,standard,DEN,"FW,MF",25,1998,24.9,15,67,25,37.3,2.69,1.0,0.18,0.48,18.4,1,3,3,10.5,8.1,0.12,4.5,3.9,shooting,DEN,"FW,MF",25,1998,24.9,659,936,70.4,10312,3129,342,437,78.3,224,287,78.0,56,121,46.3,8,6.1,6.6,1.9,46,45,58,4,107,passing,DEN,"FW,MF",25,1998,24.9,936,822,106,30,5,7,94,15,53,24,6,0,659,8,34,passing_types,DEN,"FW,MF",25,1998,24.9,103,4.14,74,11,4,10,3,1,17,0.68,13,2,0,2,0,0,goal_shot_creation,DEN,"FW,MF",25,1998,24.9,17,8,8,6,3,8,25,32.0,17,20,1,19,10,27,16,0,defense,DEN,"FW,MF",25,1998,24.9,1191,20,118,348,745,126,1188,47,18,38.3,26,55.3,884,5421,2427,73,62,21,48,20,835,209,possession,DEN,"FW,MF",25,1998,28,2240,80,83.0,24.9,26,86,16,2,8,0,1.89,52,24,28,1.13,1.13,41.1,30.0,11.1,0.45,0.44,playing_time,DEN,"FW,MF",25,1998,24.9,2,1,0,7,20,14,94,10,8,0,0,0,97,5,7,41.7,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Anderlecht,Anders Dreyer,DEN,FW,26,1998,18,16,1377,15.3,3,5,8,3,0,0,0,0,4.2,4.2,4.3,8.5,29,61,128,0.2,0.33,0.52,0.2,0.52,0.28,0.28,0.56,0.28,0.56,standard,DEN,FW,26,1998,15.3,3,42,17,40.5,2.75,1.11,0.07,0.18,18.3,1,0,0,4.2,4.2,0.1,-1.2,-1.2,shooting,DEN,FW,26,1998,15.3,430,581,74.0,7276,2145,193,225,85.8,166,220,75.5,43,83,51.8,5,4.3,3.9,0.7,38,21,32,10,61,passing,DEN,FW,26,1998,15.3,581,510,68,21,1,10,73,6,35,22,4,0,430,3,15,passing_types,DEN,FW,26,1998,15.3,69,4.51,46,11,2,6,2,2,8,0.52,4,1,0,2,1,0,goal_shot_creation,DEN,FW,26,1998,15.3,8,6,2,4,2,3,14,21.4,11,5,1,4,3,11,9,0,defense,DEN,FW,26,1998,15.3,703,10,70,227,414,70,703,18,6,33.3,11,61.1,520,2825,1065,29,21,10,30,12,507,128,possession,DEN,FW,26,1998,18,1377,77,51.0,15.3,16,84,8,2,16,0,1.78,32,13,19,1.24,0.97,26.2,20.8,5.4,0.35,0.56,playing_time,DEN,FW,26,1998,15.3,0,0,0,6,9,7,73,3,6,1,0,0,46,0,7,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
