league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
BEL-Belgian Pro League,2025-26,Anderlecht,Tristan Degreef,BEL,"DF,FW",20-234,2005,5,2,211,2.3,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,5,10,17,0.43,0.0,0.43,0.43,0.43,0.21,0.03,0.24,0.21,0.24,standard,BEL,"DF,FW",20-234,2005,2.3,1,4,2,50.0,1.71,0.85,0.25,0.5,14.0,0,0,0,0.5,0.5,0.12,0.5,0.5,shooting,BEL,"DF,FW",20-234,2005,2.3,61,80,76.3,887,265,35,42,83.3,19,24,79.2,4,5,80.0,0,0.1,0.2,-0.1,2,5,4,0,10,passing,BEL,"DF,FW",20-234,2005,2.3,80,72,7,0,0,1,2,7,0,0,0,0,61,1,5,passing_types,BEL,"DF,FW",20-234,2005,2.3,5,2.13,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,"DF,FW",20-234,2005,2.3,4,3,2,1,1,3,3,100.0,0,4,2,2,1,5,3,0,defense,BEL,"DF,FW",20-234,2005,2.3,113,3,20,38,56,11,113,7,2,28.6,4,57.1,62,276,118,5,1,2,6,2,69,17,possession,BEL,"DF,FW",20-234,2005,5,211,42,46.9,2.3,2,80,0,3,17,0,1.8,6,5,1,0.43,-0.7,5.2,3.8,1.4,0.61,-0.08,playing_time,BEL,"DF,FW",20-234,2005,2.3,1,0,0,4,4,0,2,1,3,0,1,0,10,1,2,33.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Antwerp,Daam Foulon,BEL,"DF,FW",26-171,1999,5,5,395,4.4,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.2,5,7,20,0.0,0.23,0.23,0.0,0.23,0.01,0.04,0.05,0.01,0.05,standard,BEL,"DF,FW",26-171,1999,4.4,0,1,0,0.0,0.23,0.0,0.0,0.0,11.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,BEL,"DF,FW",26-171,1999,4.4,129,174,74.1,2269,739,61,74,82.4,54,69,78.3,12,22,54.5,1,0.2,0.2,0.8,2,7,4,3,7,passing,BEL,"DF,FW",26-171,1999,4.4,174,124,49,3,0,0,16,42,4,4,0,0,129,1,3,passing_types,BEL,"DF,FW",26-171,1999,4.4,11,2.51,7,1,0,0,3,0,4,0.91,2,1,0,0,1,0,goal_shot_creation,BEL,"DF,FW",26-171,1999,4.4,9,3,2,3,4,5,11,45.5,6,2,0,2,4,13,16,0,defense,BEL,"DF,FW",26-171,1999,4.4,216,13,55,105,56,2,216,7,2,28.6,3,42.9,84,379,159,5,3,0,2,2,112,20,possession,BEL,"DF,FW",26-171,1999,5,395,79,73.1,4.4,5,79,3,0,0,0,1.8,7,5,2,0.46,1.08,4.8,5.3,-0.5,-0.12,1.51,playing_time,BEL,"DF,FW",26-171,1999,4.4,0,0,0,5,8,1,16,4,3,0,0,0,9,8,7,53.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Antwerp,Thibo Somers,BEL,"DF,FW",26-178,1999,6,6,540,6.0,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.2,8,7,36,0.17,0.0,0.17,0.17,0.17,0.14,0.06,0.2,0.14,0.2,standard,BEL,"DF,FW",26-178,1999,6.0,1,5,4,80.0,0.83,0.67,0.2,0.25,16.4,0,0,0,0.9,0.9,0.17,0.1,0.1,shooting,BEL,"DF,FW",26-178,1999,6.0,111,166,66.9,1830,687,47,59,79.7,51,73,69.9,8,16,50.0,0,0.4,0.7,-0.4,3,7,5,4,7,passing,BEL,"DF,FW",26-178,1999,6.0,166,132,33,0,0,1,17,33,0,0,0,0,111,1,8,passing_types,BEL,"DF,FW",26-178,1999,6.0,10,1.67,7,1,0,1,1,0,2,0.33,0,0,0,1,1,0,goal_shot_creation,BEL,"DF,FW",26-178,1999,6.0,16,8,9,5,2,12,14,85.7,2,4,0,4,5,21,23,0,defense,BEL,"DF,FW",26-178,1999,6.0,229,16,57,98,76,12,229,3,2,66.7,1,33.3,98,427,207,8,3,0,5,1,111,36,possession,BEL,"DF,FW",26-178,1999,6,540,90,100.0,6.0,6,90,6,0,0,0,1.5,8,7,1,0.17,0.0,6.8,9.9,-3.1,-0.52,0.0,playing_time,BEL,"DF,FW",26-178,1999,6.0,1,0,0,8,8,2,17,5,8,1,0,0,11,6,9,40.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Cercle Brugge,Flávio Nazinho,POR,"DF,FW",20,2003,20,14,1130,12.6,1,0,1,1,0,0,5,1,0.2,0.2,1.6,1.9,29,43,42,0.08,0.0,0.08,0.08,0.08,0.02,0.13,0.15,0.02,0.15,standard,POR,"DF,FW",20,2003,12.6,1,8,2,25.0,0.64,0.16,0.13,0.5,29.2,0,0,0,0.2,0.2,0.03,0.8,0.8,shooting,POR,"DF,FW",20,2003,12.6,300,577,52.0,5047,2612,146,201,72.6,115,241,47.7,25,92,27.2,0,1.6,1.7,-1.6,15,31,17,11,43,passing,POR,"DF,FW",20,2003,12.6,577,402,173,12,0,0,98,130,31,7,24,0,300,2,25,passing_types,POR,"DF,FW",20,2003,12.6,34,2.71,19,10,2,1,2,0,1,0.08,1,0,0,0,0,0,goal_shot_creation,POR,"DF,FW",20,2003,12.6,29,14,10,16,3,17,37,45.9,20,25,1,24,12,41,24,1,defense,POR,"DF,FW",20,2003,12.6,753,33,156,317,296,13,753,27,9,33.3,17,63.0,324,2169,1064,29,30,1,36,8,282,42,possession,POR,"DF,FW",20,2003,20,1130,57,41.9,12.6,14,69,2,6,27,1,1.32,19,17,2,0.16,-0.3,21.4,17.4,4.0,0.32,-0.12,playing_time,POR,"DF,FW",20,2003,12.6,5,1,1,22,14,3,98,12,14,0,0,0,64,18,24,42.9,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Charleroi,Isaac Mbenza,BEL,"DF,FW",27,1996,23,18,1576,17.5,1,2,3,1,0,0,3,0,1.6,1.6,2.8,4.3,42,55,111,0.06,0.11,0.17,0.06,0.17,0.09,0.16,0.25,0.09,0.25,standard,BEL,"DF,FW",27,1996,17.5,1,30,12,40.0,1.71,0.69,0.03,0.08,23.8,2,0,0,1.6,1.6,0.05,-0.6,-0.6,shooting,BEL,"DF,FW",27,1996,17.5,509,747,68.1,8858,2974,244,289,84.4,177,256,69.1,68,160,42.5,2,2.8,2.7,-0.8,27,46,17,8,55,passing,BEL,"DF,FW",27,1996,17.5,747,592,149,33,5,9,130,38,77,27,40,0,509,6,18,passing_types,BEL,"DF,FW",27,1996,17.5,54,3.08,28,20,4,1,1,0,5,0.29,1,3,0,0,1,0,goal_shot_creation,BEL,"DF,FW",27,1996,17.5,10,6,5,3,2,6,11,54.5,5,4,0,4,2,12,16,0,defense,BEL,"DF,FW",27,1996,17.5,870,28,132,326,418,37,870,46,25,54.3,18,39.1,598,3791,1685,42,32,17,24,11,561,111,possession,BEL,"DF,FW",27,1996,23,1576,69,58.4,17.5,18,81,10,5,24,0,1.41,18,27,-9,-0.51,0.53,20.6,28.0,-7.3,-0.42,0.04,playing_time,BEL,"DF,FW",27,1996,17.5,3,0,0,6,20,4,130,2,6,1,0,0,80,3,6,33.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Charleroi,Jérémy Pétris,FRA,"DF,FW",26,1998,27,26,2290,25.4,0,2,2,0,0,0,6,0,0.7,0.7,2.6,3.3,86,92,157,0.0,0.08,0.08,0.0,0.08,0.03,0.1,0.13,0.03,0.13,standard,FRA,"DF,FW",26,1998,25.4,0,14,4,28.6,0.55,0.16,0.0,0.0,16.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,shooting,FRA,"DF,FW",26,1998,25.4,763,1134,67.3,14274,5088,290,369,78.6,360,523,68.8,93,173,53.8,2,2.6,2.2,-0.6,21,55,19,8,92,passing,FRA,"DF,FW",26,1998,25.4,1134,892,241,13,2,4,80,228,0,0,0,0,763,1,45,passing_types,FRA,"DF,FW",26,1998,25.4,56,2.2,35,6,6,5,3,1,2,0.08,1,1,0,0,0,0,goal_shot_creation,FRA,"DF,FW",26,1998,25.4,56,36,31,22,3,23,30,76.7,7,13,2,11,32,88,60,0,defense,FRA,"DF,FW",26,1998,25.4,1450,58,357,658,464,54,1450,83,35,42.2,33,39.8,850,6875,3514,86,56,23,44,18,777,157,possession,FRA,"DF,FW",26,1998,27,2290,85,84.8,25.4,26,86,18,1,45,1,1.51,27,31,-4,-0.16,-1.04,38.8,28.6,10.2,0.4,-0.18,playing_time,FRA,"DF,FW",26,1998,25.4,6,0,0,34,58,2,80,32,36,0,1,0,120,35,18,66.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Charleroi,Quentin Benaets,BEL,"DF,FW",20,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BEL,"DF,FW",20,2003,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BEL,"DF,FW",20,2003,0.1,5,10,50.0,107,20,3,4,75.0,1,4,25.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,BEL,"DF,FW",20,2003,0.1,10,9,1,1,0,1,4,0,0,0,0,0,5,0,0,passing_types,BEL,"DF,FW",20,2003,0.1,1,7.5,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,"DF,FW",20,2003,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,defense,BEL,"DF,FW",20,2003,0.1,14,1,2,2,10,0,14,0,0,0.0,0,0.0,11,71,16,1,0,0,3,0,12,7,possession,BEL,"DF,FW",20,2003,2,12,6,0.4,0.1,0,0,0,2,6,11,0.5,0,0,0,0.0,0.0,0.1,0.2,-0.1,-0.63,-1.07,playing_time,BEL,"DF,FW",20,2003,0.1,0,0,0,0,2,0,4,0,1,0,0,0,1,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Charleroi,Žan Rogelj,SVN,"DF,FW",24,1999,16,9,828,9.2,0,0,0,0,0,0,1,0,0.4,0.4,1.0,1.4,30,30,63,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,standard,SVN,"DF,FW",24,1999,9.2,0,6,2,33.3,0.65,0.22,0.0,0.0,17.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,shooting,SVN,"DF,FW",24,1999,9.2,361,460,78.5,5995,2028,160,176,90.9,162,213,76.1,25,45,55.6,0,1.0,0.6,-1.0,7,26,9,5,30,passing,SVN,"DF,FW",24,1999,9.2,460,389,70,4,0,1,28,66,0,0,0,0,361,1,10,passing_types,SVN,"DF,FW",24,1999,9.2,20,2.17,18,1,0,0,1,0,3,0.33,3,0,0,0,0,0,goal_shot_creation,SVN,"DF,FW",24,1999,9.2,16,9,8,6,2,9,17,52.9,8,8,4,4,9,25,39,0,defense,SVN,"DF,FW",24,1999,9.2,564,31,154,256,157,16,564,12,2,16.7,8,66.7,357,2473,1184,30,22,8,11,5,337,63,possession,SVN,"DF,FW",24,1999,16,828,52,30.7,9.2,9,83,7,7,12,14,1.81,13,12,1,0.11,0.16,14.9,10.8,4.1,0.44,0.02,playing_time,SVN,"DF,FW",24,1999,9.2,1,0,0,2,6,0,28,9,9,0,0,0,28,8,7,53.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Club Brugge,Chemsdine Talbi,MAR,"DF,FW",18,2005,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,MAR,"DF,FW",18,2005,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,MAR,"DF,FW",18,2005,0.1,7,9,77.8,74,23,6,6,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,MAR,"DF,FW",18,2005,0.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,2,passing_types,MAR,"DF,FW",18,2005,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,MAR,"DF,FW",18,2005,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,MAR,"DF,FW",18,2005,0.1,10,0,2,2,6,0,10,0,0,0.0,0,0.0,9,71,32,1,1,0,1,0,8,1,possession,MAR,"DF,FW",18,2005,3,10,3,0.4,0.1,0,0,0,3,3,0,2.0,0,0,0,0.0,-1.1,0.1,0.0,0.1,0.96,-0.17,playing_time,MAR,"DF,FW",18,2005,0.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Dender,Benjamin Fredrick,NGA,"DF,FW",20-105,2005,6,5,419,4.7,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,8,15,12,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,standard,NGA,"DF,FW",20-105,2005,4.7,0,3,0,0.0,0.64,0.0,0.0,0.0,9.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,shooting,NGA,"DF,FW",20-105,2005,4.7,170,215,79.1,2594,885,88,102,86.3,62,78,79.5,13,22,59.1,0,0.4,0.4,-0.4,1,12,2,2,15,passing,NGA,"DF,FW",20-105,2005,4.7,215,168,47,2,0,0,13,45,0,0,0,0,170,0,5,passing_types,NGA,"DF,FW",20-105,2005,4.7,6,1.29,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NGA,"DF,FW",20-105,2005,4.7,12,5,8,2,2,6,11,54.5,5,5,0,5,7,19,20,0,defense,NGA,"DF,FW",20-105,2005,4.7,269,19,83,107,81,8,269,4,2,50.0,1,25.0,114,526,244,8,6,0,4,4,136,12,possession,NGA,"DF,FW",20-105,2005,6,419,70,77.6,4.7,5,81,1,1,15,0,0.33,1,7,-6,-1.29,-0.54,2.5,8.0,-5.5,-1.18,-0.46,playing_time,NGA,"DF,FW",20-105,2005,4.7,0,0,0,2,3,2,13,7,5,0,1,0,16,9,16,36.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
