league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
AUT-Bundesliga,2024-25,Austria Wien,Hakim Guenouche,FRA,"DF,MF",24,2000,22,11,912,10.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,FRA,"DF,MF",24,2000,10.1,0,7,1,14.3,0.69,0.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,FRA,"DF,MF",24,2000,10.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,"DF,MF",24,2000,10.1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,passing_types,FRA,"DF,MF",24,2000,10.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,FRA,"DF,MF",24,2000,10.1,0,12,0,0,0,0,0,0.0,0,0,0,0,15,0,0,0,defense,FRA,"DF,MF",24,2000,10.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,FRA,"DF,MF",24,2000,22,912,41,31.7,10.1,11,61,0,11,22,1,2.0,15,13,2,0.2,-0.4,0.0,0.0,0.0,0.0,0.0,playing_time,FRA,"DF,MF",24,2000,10.1,2,0,0,8,14,0,37,15,12,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",25,1997,16,13,1141,12.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SVN,"DF,MF",25,1997,12.7,0,9,2,22.2,0.71,0.16,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SVN,"DF,MF",25,1997,12.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,SVN,"DF,MF",25,1997,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,SVN,"DF,MF",25,1997,12.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SVN,"DF,MF",25,1997,12.7,0,17,0,0,0,0,0,0.0,0,0,0,0,18,0,0,0,defense,SVN,"DF,MF",25,1997,12.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,SVN,"DF,MF",25,1997,16,1141,71,39.6,12.7,13,82,8,3,23,3,1.19,15,18,-3,-0.24,0.38,0.0,0.0,0.0,0.0,0.0,playing_time,SVN,"DF,MF",25,1997,12.7,3,0,0,22,8,2,0,18,17,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",26,1997,27,22,1959,21.8,3,1,4,3,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.14,0.05,0.18,0.14,0.18,0.0,0.0,0.0,0.0,0.0,standard,SVN,"DF,MF",26,1997,21.8,3,13,5,38.5,0.6,0.23,0.23,0.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SVN,"DF,MF",26,1997,21.8,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,SVN,"DF,MF",26,1997,21.8,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,passing_types,SVN,"DF,MF",26,1997,21.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SVN,"DF,MF",26,1997,21.8,0,40,0,0,0,0,0,0.0,0,0,0,0,35,0,0,0,defense,SVN,"DF,MF",26,1997,21.8,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,SVN,"DF,MF",26,1997,27,1959,73,68.0,21.8,22,84,16,5,20,3,1.3,25,31,-6,-0.28,-0.08,0.0,0.0,0.0,0.0,0.0,playing_time,SVN,"DF,MF",26,1997,21.8,6,0,0,49,11,0,12,35,40,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Danilo Mitrović,SRB,"DF,MF",23,2001,13,6,622,6.9,1,0,1,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.14,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,standard,SRB,"DF,MF",23,2001,6.9,1,8,3,37.5,1.16,0.43,0.13,0.33,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SRB,"DF,MF",23,2001,6.9,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,SRB,"DF,MF",23,2001,6.9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,passing_types,SRB,"DF,MF",23,2001,6.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SRB,"DF,MF",23,2001,6.9,0,15,0,0,0,0,0,0.0,0,0,0,0,11,0,0,0,defense,SRB,"DF,MF",23,2001,6.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,SRB,"DF,MF",23,2001,13,622,48,21.6,6.9,6,79,1,7,21,5,1.23,8,11,-3,-0.43,-0.23,0.0,0.0,0.0,0.0,0.0,playing_time,SRB,"DF,MF",23,2001,6.9,1,0,0,4,2,1,3,11,15,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Julian Gölles,AUT,"DF,MF",24,1999,17,0,317,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,"DF,MF",24,1999,3.5,0,5,0,0.0,1.42,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"DF,MF",24,1999,3.5,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"DF,MF",24,1999,3.5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,passing_types,AUT,"DF,MF",24,1999,3.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"DF,MF",24,1999,3.5,0,3,0,0,0,0,0,0.0,0,0,0,0,6,0,0,0,defense,AUT,"DF,MF",24,1999,3.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"DF,MF",24,1999,17,317,19,11.0,3.5,0,0,0,17,19,9,0.94,4,8,-4,-1.14,-1.0,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"DF,MF",24,1999,3.5,0,0,0,3,4,0,13,6,3,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Stefan Haudum,AUT,"DF,MF",28,1994,14,8,699,7.8,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,"DF,MF",28,1994,7.8,0,2,0,0.0,0.26,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"DF,MF",28,1994,7.8,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"DF,MF",28,1994,7.8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,AUT,"DF,MF",28,1994,7.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"DF,MF",28,1994,7.8,0,14,0,0,0,0,0,0.0,0,0,0,0,9,0,0,0,defense,AUT,"DF,MF",28,1994,7.8,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"DF,MF",28,1994,14,699,50,24.3,7.8,8,70,3,6,23,7,1.14,8,15,-7,-0.9,-0.57,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"DF,MF",28,1994,7.8,4,0,0,7,4,0,4,9,14,0,0,1,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Grazer AK,Michael Lang,AUT,"DF,MF",26,1998,14,11,1045,11.6,2,1,3,2,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.17,0.09,0.26,0.17,0.26,0.0,0.0,0.0,0.0,0.0,standard,AUT,"DF,MF",26,1998,11.6,2,15,4,26.7,1.29,0.34,0.13,0.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"DF,MF",26,1998,11.6,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"DF,MF",26,1998,11.6,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,passing_types,AUT,"DF,MF",26,1998,11.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"DF,MF",26,1998,11.6,0,22,0,0,0,0,0,0.0,0,0,0,0,18,0,0,0,defense,AUT,"DF,MF",26,1998,11.6,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"DF,MF",26,1998,14,1045,75,36.3,11.6,11,88,9,3,26,0,0.86,15,21,-6,-0.52,0.17,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"DF,MF",26,1998,11.6,3,1,1,13,11,0,39,18,22,0,0,1,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,7,6,561,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,"DF,MF",19,2004,6.2,0,2,0,0.0,0.32,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"DF,MF",19,2004,6.2,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"DF,MF",19,2004,6.2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,passing_types,AUT,"DF,MF",19,2004,6.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"DF,MF",19,2004,6.2,0,6,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,defense,AUT,"DF,MF",19,2004,6.2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"DF,MF",19,2004,7,561,80,19.5,6.2,6,90,5,1,22,2,2.14,10,3,7,1.12,1.39,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"DF,MF",19,2004,6.2,1,0,0,11,4,0,16,3,6,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Hartberg,Damjan Kovacevic,AUT,"DF,MF",21-013,2004,5,4,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,"DF,MF",21-013,2004,3.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"DF,MF",21-013,2004,3.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"DF,MF",21-013,2004,3.7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,AUT,"DF,MF",21-013,2004,3.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"DF,MF",21-013,2004,3.7,0,3,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,defense,AUT,"DF,MF",21-013,2004,3.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"DF,MF",21-013,2004,5,330,66,73.3,3.7,4,82,2,1,3,0,1.2,7,7,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"DF,MF",21-013,2004,3.7,0,0,0,1,4,0,4,4,3,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,24,11,1214,13.5,0,3,3,0,0,0,11,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,standard,,"DF,MF",19,2004,13.5,0,8,1,12.5,0.59,0.07,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,,"DF,MF",19,2004,13.5,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,,"DF,MF",19,2004,13.5,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,passing_types,,"DF,MF",19,2004,13.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,,"DF,MF",19,2004,13.5,0,18,0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,defense,,"DF,MF",19,2004,13.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,,"DF,MF",19,2004,24,1214,51,42.2,13.5,11,83,5,13,23,1,1.48,23,16,7,0.52,0.9,0.0,0.0,0.0,0.0,0.0,playing_time,,"DF,MF",19,2004,13.5,11,1,1,24,19,0,35,7,18,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
