league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
BEL-Belgian Pro League,2024-25,Anderlecht,Nilson Angulo,ECU,"FW,DF",21,2003,19,3,459,5.1,1,3,4,1,0,0,1,0,1.2,1.2,1.6,2.8,31,14,71,0.2,0.59,0.78,0.2,0.78,0.24,0.31,0.55,0.24,0.55,standard,ECU,"FW,DF",21,2003,5.1,1,11,2,18.2,2.16,0.39,0.09,0.5,15.2,0,0,0,1.2,1.2,0.11,-0.2,-0.2,shooting,ECU,"FW,DF",21,2003,5.1,134,167,80.2,1851,467,77,91,84.6,42,54,77.8,6,8,75.0,3,1.6,2.1,1.4,8,4,13,5,14,passing,ECU,"FW,DF",21,2003,5.1,167,154,13,1,2,0,12,9,2,0,0,0,134,0,4,passing_types,ECU,"FW,DF",21,2003,5.1,22,4.31,15,0,4,0,2,1,5,0.98,3,0,2,0,0,0,goal_shot_creation,ECU,"FW,DF",21,2003,5.1,15,8,3,7,5,5,12,41.7,7,10,0,10,3,18,7,0,defense,ECU,"FW,DF",21,2003,5.1,291,8,28,69,204,45,291,56,21,37.5,33,58.9,195,1609,742,31,16,17,27,9,186,71,possession,ECU,"FW,DF",21,2003,19,459,24,17.0,5.1,3,71,0,16,15,7,1.45,7,2,5,0.98,0.26,9.6,6.4,3.1,0.62,0.65,playing_time,ECU,"FW,DF",21,2003,5.1,1,0,0,12,9,3,12,3,8,0,0,0,29,8,11,42.1,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Antwerp,Anthony Valencia,ECU,"FW,DF",21,2003,26,8,889,9.9,2,2,4,2,0,0,3,0,2.3,2.3,1.5,3.8,35,37,80,0.2,0.2,0.4,0.2,0.4,0.26,0.17,0.43,0.26,0.43,standard,ECU,"FW,DF",21,2003,9.9,2,22,7,31.8,2.23,0.71,0.09,0.29,16.6,0,0,0,2.3,2.3,0.12,-0.3,-0.3,shooting,ECU,"FW,DF",21,2003,9.9,342,415,82.4,5093,1214,191,216,88.4,117,140,83.6,17,25,68.0,2,1.5,1.9,0.5,23,15,18,2,37,passing,ECU,"FW,DF",21,2003,9.9,415,382,31,4,1,0,21,17,9,6,2,0,342,2,13,passing_types,ECU,"FW,DF",21,2003,9.9,54,6.08,35,6,6,4,2,1,3,0.34,1,0,0,2,0,0,goal_shot_creation,ECU,"FW,DF",21,2003,9.9,24,19,7,8,9,4,15,26.7,11,18,0,18,9,33,8,1,defense,ECU,"FW,DF",21,2003,9.9,568,8,64,239,280,32,568,55,26,47.3,27,49.1,414,2842,1434,35,34,12,33,21,388,80,possession,ECU,"FW,DF",21,2003,26,889,34,32.9,9.9,8,73,3,18,17,1,1.58,21,11,10,1.01,0.76,15.1,13.4,1.7,0.19,0.63,playing_time,ECU,"FW,DF",21,2003,9.9,3,0,0,14,13,1,21,9,19,0,1,0,51,3,17,15.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Antwerp,Chidera Ejuke,NGA,"FW,DF",25,1998,21,14,1324,14.7,3,4,7,3,0,0,3,0,2.3,2.3,4.0,6.3,73,99,152,0.2,0.27,0.48,0.2,0.48,0.15,0.27,0.43,0.15,0.43,standard,NGA,"FW,DF",25,1998,14.7,3,29,14,48.3,1.97,0.95,0.1,0.21,18.8,0,0,0,2.3,2.3,0.08,0.7,0.7,shooting,NGA,"FW,DF",25,1998,14.7,643,797,80.7,10866,2653,307,362,84.8,246,287,85.7,66,99,66.7,4,4.0,4.4,0.0,30,54,43,10,99,passing,NGA,"FW,DF",25,1998,14.7,797,755,39,9,9,6,60,15,15,6,4,0,643,3,19,passing_types,NGA,"FW,DF",25,1998,14.7,69,4.69,54,1,10,3,0,1,8,0.54,5,0,1,2,0,0,goal_shot_creation,NGA,"FW,DF",25,1998,14.7,15,8,3,8,4,7,14,50.0,7,6,0,6,9,24,11,0,defense,NGA,"FW,DF",25,1998,14.7,1002,14,81,406,538,70,1002,109,60,55.0,47,43.1,805,5998,2565,73,65,32,51,30,770,152,possession,NGA,"FW,DF",25,1998,21,1324,63,49.0,14.7,14,82,3,7,24,4,1.38,25,13,12,0.82,-0.23,24.1,14.0,10.1,0.69,0.06,playing_time,NGA,"FW,DF",25,1998,14.7,3,0,0,12,13,0,60,9,8,0,0,0,80,2,14,12.5,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Antwerp,Gyrano Kerk,SUR,"FW,DF",29-282,1995,4,3,291,3.2,0,1,1,0,0,0,3,0,0.2,0.2,0.3,0.5,10,8,21,0.0,0.31,0.31,0.0,0.31,0.05,0.1,0.15,0.05,0.15,standard,SUR,"FW,DF",29-282,1995,3.2,0,3,3,100.0,0.93,0.93,0.0,0.0,16.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,shooting,SUR,"FW,DF",29-282,1995,3.2,31,47,66.0,477,180,18,26,69.2,11,16,68.8,2,3,66.7,1,0.3,0.4,0.7,5,6,3,1,8,passing,SUR,"FW,DF",29-282,1995,3.2,47,46,1,0,0,0,2,0,0,0,0,0,31,0,2,passing_types,SUR,"FW,DF",29-282,1995,3.2,7,2.16,6,0,0,1,0,0,1,0.31,1,0,0,0,0,0,goal_shot_creation,SUR,"FW,DF",29-282,1995,3.2,3,3,0,2,1,1,3,33.3,2,3,1,2,2,5,3,0,defense,SUR,"FW,DF",29-282,1995,3.2,90,3,9,38,45,16,90,10,2,20.0,8,80.0,55,394,184,10,0,7,16,12,65,21,possession,SUR,"FW,DF",29-282,1995,4,291,73,53.9,3.2,3,82,0,1,45,0,1.25,4,3,1,0.31,0.31,4.7,5.0,-0.3,-0.1,0.92,playing_time,SUR,"FW,DF",29-282,1995,3.2,3,0,0,4,2,4,2,2,3,0,0,0,8,3,2,60.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Antwerp,Marwan Al Sahafi,KSA,"FW,DF",21-205,2004,2,2,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,11,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,standard,KSA,"FW,DF",21-205,2004,1.5,0,3,0,0.0,1.96,0.0,0.0,0.0,10.8,0,0,0,0.4,0.4,0.14,-0.4,-0.4,shooting,KSA,"FW,DF",21-205,2004,1.5,19,22,86.4,291,44,12,13,92.3,6,7,85.7,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,4,passing,KSA,"FW,DF",21-205,2004,1.5,22,17,5,1,0,0,1,3,0,0,0,0,19,0,1,passing_types,KSA,"FW,DF",21-205,2004,1.5,1,0.65,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,KSA,"FW,DF",21-205,2004,1.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,0,defense,KSA,"FW,DF",21-205,2004,1.5,30,3,4,6,20,3,30,2,1,50.0,1,50.0,17,94,42,2,0,1,2,1,20,11,possession,KSA,"FW,DF",21-205,2004,2,138,69,25.6,1.5,2,69,0,0,0,0,1.5,1,3,-2,-1.3,-1.98,2.7,2.3,0.5,0.29,1.1,playing_time,KSA,"FW,DF",21-205,2004,1.5,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,50.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Antwerp,Victor Udoh,NGA,"FW,DF",19,2004,12,0,88,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,9,1,14,0.0,0.0,0.0,0.0,0.0,0.27,0.73,1.0,0.27,1.0,standard,NGA,"FW,DF",19,2004,1.0,0,4,1,25.0,4.09,1.02,0.0,0.0,20.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting,NGA,"FW,DF",19,2004,1.0,22,31,71.0,351,46,11,14,78.6,9,13,69.2,1,1,100.0,0,0.5,0.2,-0.5,3,0,1,0,1,passing,NGA,"FW,DF",19,2004,1.0,31,29,1,0,0,0,5,1,0,0,0,0,22,1,1,passing_types,NGA,"FW,DF",19,2004,1.0,7,9.55,3,0,2,0,2,0,1,1.36,0,0,0,0,1,0,goal_shot_creation,NGA,"FW,DF",19,2004,1.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,defense,NGA,"FW,DF",19,2004,1.0,53,1,6,20,28,8,53,8,2,25.0,5,62.5,41,340,181,9,5,5,4,2,37,14,possession,NGA,"FW,DF",19,2004,12,88,7,3.3,1.0,0,0,0,12,7,6,1.67,2,0,2,2.05,1.6,3.1,1.0,2.1,2.85,3.18,playing_time,NGA,"FW,DF",19,2004,1.0,0,0,0,4,4,2,5,0,1,0,0,0,7,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2024-25,Beerschot,Ayouba Kosiah,LBR,"FW,DF",23,2001,16,5,535,5.9,1,0,1,1,0,0,2,0,1.9,1.9,0.3,2.2,4,7,22,0.17,0.0,0.17,0.17,0.17,0.32,0.05,0.37,0.32,0.37,standard,LBR,"FW,DF",23,2001,5.9,1,14,3,21.4,2.36,0.5,0.07,0.33,12.0,0,0,0,1.9,1.9,0.13,-0.9,-0.9,shooting,LBR,"FW,DF",23,2001,5.9,65,96,67.7,843,151,41,53,77.4,16,27,59.3,3,5,60.0,0,0.3,0.1,-0.3,7,5,1,0,7,passing,LBR,"FW,DF",23,2001,5.9,96,91,5,0,0,0,0,0,0,0,0,0,65,0,2,passing_types,LBR,"FW,DF",23,2001,5.9,12,2.08,8,0,1,1,1,1,0,0.0,0,0,0,0,0,0,goal_shot_creation,LBR,"FW,DF",23,2001,5.9,8,6,2,4,2,3,5,60.0,2,3,0,3,0,8,3,1,defense,LBR,"FW,DF",23,2001,5.9,150,5,13,78,61,22,150,3,1,33.3,2,66.7,102,537,180,4,1,3,13,9,105,22,possession,LBR,"FW,DF",23,2001,16,535,33,19.8,5.9,5,74,2,11,15,10,0.56,5,16,-11,-1.85,-0.89,7.8,13.4,-5.6,-0.98,-0.26,playing_time,LBR,"FW,DF",23,2001,5.9,2,0,0,14,5,11,0,0,6,1,0,0,11,12,31,27.9,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Charleroi,Mitchy Ntelo,BEL,"FW,DF",22,2001,4,0,38,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,standard,BEL,"FW,DF",22,2001,0.4,0,1,0,0.0,2.37,0.0,0.0,0.0,13.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting,BEL,"FW,DF",22,2001,0.4,11,12,91.7,188,26,5,6,83.3,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,BEL,"FW,DF",22,2001,0.4,12,10,2,0,0,0,0,1,0,0,0,0,11,0,0,passing_types,BEL,"FW,DF",22,2001,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BEL,"FW,DF",22,2001,0.4,0,0,0,0,0,0,0,0.0,0,1,1,0,2,2,1,0,defense,BEL,"FW,DF",22,2001,0.4,21,2,6,8,7,2,21,0,0,0.0,0,0.0,13,89,12,0,1,0,3,1,9,5,possession,BEL,"FW,DF",22,2001,4,38,10,1.4,0.4,0,0,0,4,10,2,0.5,0,2,-2,-4.74,-4.06,0.5,1.5,-1.0,-2.35,-1.94,playing_time,BEL,"FW,DF",22,2001,0.4,0,0,0,0,2,1,0,2,0,0,0,0,3,0,3,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2025-26,Charleroi,Žan Rogelj,SVN,"FW,DF",25-289,1999,2,2,151,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,9,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,standard,SVN,"FW,DF",25-289,1999,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SVN,"FW,DF",25-289,1999,1.7,31,43,72.1,709,248,7,8,87.5,16,22,72.7,7,9,77.8,0,0.1,0.3,-0.1,1,5,1,1,4,passing,SVN,"FW,DF",25-289,1999,1.7,43,40,2,0,0,0,5,2,0,0,0,0,31,1,2,passing_types,SVN,"FW,DF",25-289,1999,1.7,2,1.19,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SVN,"FW,DF",25-289,1999,1.7,2,1,1,1,0,2,3,66.7,1,2,1,1,0,2,4,0,defense,SVN,"FW,DF",25-289,1999,1.7,65,1,12,31,22,1,65,2,1,50.0,1,50.0,33,157,75,1,1,0,2,0,38,9,possession,SVN,"FW,DF",25-289,1999,2,151,76,33.6,1.7,2,76,1,0,0,2,1.0,1,2,-1,-0.6,-1.2,1.5,2.4,-0.9,-0.55,-1.1,playing_time,SVN,"FW,DF",25-289,1999,1.7,0,0,0,0,1,0,5,0,1,0,0,0,5,1,1,50.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
BEL-Belgian Pro League,2023-24,Genk,Alieu Fadera,GAM,"FW,DF",21,2001,16,12,965,10.7,3,1,4,3,0,0,3,0,2.5,2.5,5.2,7.8,38,24,111,0.28,0.09,0.37,0.28,0.37,0.24,0.49,0.73,0.24,0.73,standard,GAM,"FW,DF",21,2001,10.7,3,24,8,33.3,2.24,0.75,0.13,0.38,17.5,0,0,0,2.5,2.5,0.11,0.5,0.5,shooting,GAM,"FW,DF",21,2001,10.7,284,388,73.2,4261,1032,144,184,78.3,84,122,68.9,29,43,67.4,1,5.2,4.4,-4.2,28,16,14,6,24,passing,GAM,"FW,DF",21,2001,10.7,388,371,15,4,2,2,29,11,0,0,0,0,284,2,13,passing_types,GAM,"FW,DF",21,2001,10.7,57,5.32,44,0,4,0,9,0,7,0.65,3,0,2,0,2,0,goal_shot_creation,GAM,"FW,DF",21,2001,10.7,25,15,8,9,8,6,24,25.0,18,11,0,11,5,30,3,0,defense,GAM,"FW,DF",21,2001,10.7,556,7,66,196,301,72,556,46,14,30.4,28,60.9,410,3010,1171,38,19,27,31,23,384,111,possession,GAM,"FW,DF",21,2001,16,965,60,35.7,10.7,12,74,1,4,19,0,1.31,23,5,18,1.68,1.58,25.9,9.6,16.3,1.52,1.02,playing_time,GAM,"FW,DF",21,2001,10.7,3,0,0,19,39,6,29,5,15,2,1,0,53,9,10,47.4,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
