league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
AUT-Bundesliga,2023-24,Austria Wien,Alexander Schmidt,AUT,"FW,MF",25,1998,18,4,460,5.1,3,0,3,3,0,1,2,0,0.0,0.0,0.0,0.0,0,0,0,0.59,0.0,0.59,0.59,0.59,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",25,1998,5.1,3,15,7,46.7,2.93,1.37,0.2,0.43,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",25,1998,5.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",25,1998,5.1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",25,1998,5.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",25,1998,5.1,0,3,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,defense,AUT,"FW,MF",25,1998,5.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",25,1998,18,460,26,16.0,5.1,4,65,1,14,14,4,1.71,8,5,3,0.59,0.66,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",25,1998,5.1,2,0,0,16,4,4,4,1,3,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Austria Wien,Andreas Gruber,AUT,"FW,MF",28,1995,31,27,2261,25.1,11,3,14,11,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.44,0.12,0.56,0.44,0.56,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",28,1995,25.1,11,75,32,42.7,2.99,1.27,0.15,0.34,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",28,1995,25.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",28,1995,25.1,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",28,1995,25.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",28,1995,25.1,0,11,0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,defense,AUT,"FW,MF",28,1995,25.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",28,1995,31,2261,73,78.5,25.1,27,79,8,4,34,0,1.53,23,23,0,0.0,-0.15,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",28,1995,25.1,4,0,0,30,41,16,31,7,11,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Austria Wien,Johannes Eggestein,GER,"FW,MF",27-125,1998,5,4,323,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,"FW,MF",27-125,1998,3.6,0,8,2,25.0,2.23,0.56,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GER,"FW,MF",27-125,1998,3.6,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,"FW,MF",27-125,1998,3.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,passing_types,GER,"FW,MF",27-125,1998,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,"FW,MF",27-125,1998,3.6,0,5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,GER,"FW,MF",27-125,1998,3.6,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GER,"FW,MF",27-125,1998,5,323,65,71.8,3.6,4,73,1,1,30,0,0.8,4,7,-3,-0.84,-0.13,0.0,0.0,0.0,0.0,0.0,playing_time,GER,"FW,MF",27-125,1998,3.6,0,0,0,2,3,1,9,0,5,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Austria Wien,Maurice Malone,GER,"FW,MF",23,2000,31,31,2492,27.7,11,3,14,11,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.4,0.11,0.51,0.4,0.51,0.0,0.0,0.0,0.0,0.0,standard,GER,"FW,MF",23,2000,27.7,11,75,29,38.7,2.71,1.05,0.15,0.38,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GER,"FW,MF",23,2000,27.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,GER,"FW,MF",23,2000,27.7,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,passing_types,GER,"FW,MF",23,2000,27.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,"FW,MF",23,2000,27.7,0,18,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,defense,GER,"FW,MF",23,2000,27.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GER,"FW,MF",23,2000,31,2492,80,86.5,27.7,31,80,8,0,0,0,1.94,42,28,14,0.51,0.27,0.0,0.0,0.0,0.0,0.0,playing_time,GER,"FW,MF",23,2000,27.7,6,0,0,33,32,13,52,2,18,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Austria Wien,Maurice Malone,GER,"FW,MF",25-024,2000,5,4,343,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,"FW,MF",25-024,2000,3.8,0,12,6,50.0,3.15,1.57,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GER,"FW,MF",25-024,2000,3.8,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,"FW,MF",25-024,2000,3.8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,passing_types,GER,"FW,MF",25-024,2000,3.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,"FW,MF",25-024,2000,3.8,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,GER,"FW,MF",25-024,2000,3.8,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GER,"FW,MF",25-024,2000,5,343,69,76.2,3.8,4,77,1,1,35,0,0.8,4,7,-3,-0.79,0.05,0.0,0.0,0.0,0.0,0.0,playing_time,GER,"FW,MF",25-024,2000,3.8,0,0,0,1,6,4,6,0,0,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Schmidt,AUT,"FW,MF",26,1998,27,6,775,8.6,1,1,2,1,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.12,0.12,0.23,0.12,0.23,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",26,1998,8.6,1,15,7,46.7,1.74,0.81,0.07,0.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",26,1998,8.6,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",26,1998,8.6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",26,1998,8.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",26,1998,8.6,0,7,0,0,0,0,0,0.0,0,0,0,0,8,0,0,0,defense,AUT,"FW,MF",26,1998,8.6,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",26,1998,27,775,29,26.9,8.6,6,59,0,21,20,0,1.19,12,14,-2,-0.23,0.02,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",26,1998,8.6,2,0,0,16,9,3,7,8,7,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",22,2001,32,22,1877,20.9,2,1,3,2,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.1,0.05,0.14,0.1,0.14,0.0,0.0,0.0,0.0,0.0,standard,IRL,"FW,MF",22,2001,20.9,2,34,8,23.5,1.63,0.38,0.06,0.25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,IRL,"FW,MF",22,2001,20.9,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,IRL,"FW,MF",22,2001,20.9,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,passing_types,IRL,"FW,MF",22,2001,20.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,IRL,"FW,MF",22,2001,20.9,0,13,0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,defense,IRL,"FW,MF",22,2001,20.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,IRL,"FW,MF",22,2001,32,1877,59,65.2,20.9,22,70,4,10,33,0,1.0,26,33,-7,-0.34,0.38,0.0,0.0,0.0,0.0,0.0,playing_time,IRL,"FW,MF",22,2001,20.9,4,0,0,26,21,5,30,7,13,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",23,2001,17,3,673,7.5,2,0,2,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.27,0.0,0.27,0.27,0.27,0.0,0.0,0.0,0.0,0.0,standard,IRL,"FW,MF",23,2001,7.5,2,11,6,54.5,1.47,0.8,0.18,0.33,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,IRL,"FW,MF",23,2001,7.5,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,IRL,"FW,MF",23,2001,7.5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,passing_types,IRL,"FW,MF",23,2001,7.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,IRL,"FW,MF",23,2001,7.5,0,5,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,defense,IRL,"FW,MF",23,2001,7.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,IRL,"FW,MF",23,2001,17,673,40,23.4,7.5,3,81,2,14,31,1,1.0,8,15,-7,-0.94,-0.9,0.0,0.0,0.0,0.0,0.0,playing_time,IRL,"FW,MF",23,2001,7.5,3,0,0,9,13,5,12,5,5,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Paul Mensah,GHA,"FW,MF",23,1999,31,26,2292,25.5,2,2,4,2,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.08,0.08,0.16,0.08,0.16,0.0,0.0,0.0,0.0,0.0,standard,GHA,"FW,MF",23,1999,25.5,2,28,14,50.0,1.1,0.55,0.07,0.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GHA,"FW,MF",23,1999,25.5,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,GHA,"FW,MF",23,1999,25.5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,passing_types,GHA,"FW,MF",23,1999,25.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GHA,"FW,MF",23,1999,25.5,0,18,0,0,0,0,0,0.0,0,0,0,0,11,0,0,0,defense,GHA,"FW,MF",23,1999,25.5,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GHA,"FW,MF",23,1999,31,2292,74,79.6,25.5,26,82,15,5,33,0,1.03,21,38,-17,-0.67,-0.97,0.0,0.0,0.0,0.0,0.0,playing_time,GHA,"FW,MF",23,1999,25.5,6,0,0,26,54,5,19,11,18,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Stefan Feiertag,AUT,"FW,MF",21,2001,27,5,750,8.3,1,2,3,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.12,0.24,0.36,0.12,0.36,0.0,0.0,0.0,0.0,0.0,standard,AUT,"FW,MF",21,2001,8.3,1,15,6,40.0,1.8,0.72,0.07,0.17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"FW,MF",21,2001,8.3,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"FW,MF",21,2001,8.3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,passing_types,AUT,"FW,MF",21,2001,8.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"FW,MF",21,2001,8.3,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,defense,AUT,"FW,MF",21,2001,8.3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"FW,MF",21,2001,27,750,28,26.0,8.3,5,59,0,22,21,3,0.96,8,15,-7,-0.84,-0.5,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"FW,MF",21,2001,8.3,1,0,0,22,20,2,4,3,0,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
