league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
AUT-Bundesliga,2023-24,Austria Wien,Christian Früchtl,GER,GK,23,2000,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,GER,GK,23,2000,29.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,GER,GK,23,2000,29.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,GER,GK,23,2000,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,GER,GK,23,2000,29.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,GER,GK,23,2000,29.0,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,GER,GK,23,2000,29.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,GER,GK,23,2000,29,2610,90,90.6,29.0,29,90,29,0,0,0,1.53,30,29,1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,playing_time,GER,GK,23,2000,29.0,1,0,0,1,9,0,0,0,2,0,0,0,0,0,0,0.0,misc,GER,GK,23,2000,29,29,2610,29.0,29,1.0,86,65,72.1,10,10,9,12,41.4,8,5,3,0,37.5,keeper,GER,GK,23,2000,29.0,29,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2023-24,Austria Wien,Mirko Kos,AUT,GK,26,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,26,1997,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,26,1997,3.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,26,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,26,1997,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,26,1997,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,26,1997,3.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,26,1997,3,270,90,9.4,3.0,3,90,3,0,0,29,2.0,5,5,0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,26,1997,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,misc,AUT,GK,26,1997,3,3,270,3.0,5,1.67,17,12,70.6,2,0,1,0,0.0,0,0,0,0,0.0,keeper,AUT,GK,26,1997,3.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,31,1992,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,31,1992,32.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,31,1992,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,31,1992,32.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,31,1992,32.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,defense,AUT,GK,31,1992,32.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,31,1992,32,2880,90,100.0,32.0,32,90,32,0,0,0,1.88,47,32,15,0.47,0.0,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,31,1992,32.0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0.0,misc,AUT,GK,31,1992,32,32,2880,32.0,32,1.0,125,95,76.0,18,6,8,10,31.3,2,2,0,0,0.0,keeper,AUT,GK,31,1992,32.0,32,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2025-26,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,32-307,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,32-307,1992,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,32-307,1992,5.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,32-307,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,32-307,1992,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,32-307,1992,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,32-307,1992,5.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,32-307,1992,5,450,90,100.0,5.0,5,90,5,0,0,0,0.8,5,9,-4,-0.8,0.0,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,32-307,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,misc,AUT,GK,32-307,1992,5,5,450,5.0,9,1.8,15,7,46.7,1,1,3,1,20.0,1,1,0,0,0.0,keeper,AUT,GK,32-307,1992,5.0,9,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Andreas Lukse,AUT,GK,35,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,35,1987,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,35,1987,1.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,35,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,35,1987,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,35,1987,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,35,1987,1.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,35,1987,1,90,90,3.1,1.0,1,90,1,0,0,20,0.0,0,1,-1,-1.0,-0.55,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,35,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,misc,AUT,GK,35,1987,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,0.0,keeper,AUT,GK,35,1987,1.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,36,1987,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,36,1987,4.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,36,1987,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,36,1987,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,36,1987,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,36,1987,4.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,36,1987,4,360,90,12.5,4.0,4,90,4,0,0,5,1.25,5,5,0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,36,1987,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,misc,AUT,GK,36,1987,4,4,360,4.0,5,1.25,12,7,66.7,1,2,1,1,25.0,1,1,0,0,0.0,keeper,AUT,GK,36,1987,4.0,5,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,26,1997,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,26,1997,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,26,1997,31.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,26,1997,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,26,1997,31.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,26,1997,31.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,26,1997,31.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,26,1997,31,2790,90,96.9,31.0,31,90,31,0,0,1,1.03,33,47,-14,-0.45,0.55,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,26,1997,31.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,misc,AUT,GK,26,1997,31,31,2790,31.0,47,1.52,134,92,68.7,7,11,13,8,25.8,6,5,1,0,16.7,keeper,AUT,GK,26,1997,31.0,47,5,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,standard,AUT,GK,27,1997,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,GK,27,1997,2.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,GK,27,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,AUT,GK,27,1997,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,GK,27,1997,2.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,AUT,GK,27,1997,2.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,GK,27,1997,2,180,90,6.3,2.0,2,90,2,0,0,0,1.5,2,5,-3,-1.5,-1.33,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,GK,27,1997,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,misc,AUT,GK,27,1997,2,2,180,2.0,5,2.5,12,7,58.3,1,0,1,1,50.0,0,0,0,0,0.0,keeper,AUT,GK,27,1997,2.0,5,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,,GK,20,2003,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,,GK,20,2003,26.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,,GK,20,2003,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,,GK,20,2003,26.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,,GK,20,2003,26.0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,,GK,20,2003,26.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,,GK,20,2003,26,2340,90,81.3,26.0,26,90,26,0,0,0,1.15,30,35,-5,-0.19,0.31,0.0,0.0,0.0,0.0,0.0,playing_time,,GK,20,2003,26.0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0.0,misc,,GK,20,2003,26,26,2340,26.0,35,1.35,111,80,72.1,9,3,14,6,23.1,4,4,0,0,0.0,keeper,,GK,20,2003,26.0,35,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
AUT-Bundesliga,2025-26,Blau-Weiß Linz,Viktor Baier,CZE,GK,20-237,2005,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CZE,GK,20-237,2005,5.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,CZE,GK,20-237,2005,5.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,CZE,GK,20-237,2005,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,passing_types,CZE,GK,20-237,2005,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,CZE,GK,20-237,2005,5.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,CZE,GK,20-237,2005,5.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,CZE,GK,20-237,2005,5,450,90,100.0,5.0,5,90,5,0,0,0,0.2,2,9,-7,-1.4,0.0,0.0,0.0,0.0,0.0,0.0,playing_time,CZE,GK,20-237,2005,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,misc,CZE,GK,20-237,2005,5,5,450,5.0,9,1.8,28,21,75.0,0,1,4,0,0.0,2,2,0,0,0.0,keeper,CZE,GK,20-237,2005,5.0,9,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,keeper_adv
