league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
AUT-Bundesliga,2024-25,Austria Wien,Marvin Potzmann,AUT,"MF,DF",30,1993,20,2,445,4.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",30,1993,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",30,1993,4.9,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",30,1993,4.9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",30,1993,4.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",30,1993,4.9,0,9,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,defense,AUT,"MF,DF",30,1993,4.9,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",30,1993,20,445,22,15.5,4.9,2,80,0,18,16,6,1.95,4,7,-3,-0.61,-1.27,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",30,1993,4.9,3,0,0,17,2,0,7,5,9,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Austria Wien,Matteo Perez Vinlöf,SWE,"MF,DF",18,2005,31,22,1905,21.2,1,1,2,1,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0.05,0.05,0.09,0.05,0.09,0.0,0.0,0.0,0.0,0.0,standard,SWE,"MF,DF",18,2005,21.2,1,21,2,9.5,0.99,0.09,0.05,0.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SWE,"MF,DF",18,2005,21.2,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,SWE,"MF,DF",18,2005,21.2,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,passing_types,SWE,"MF,DF",18,2005,21.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SWE,"MF,DF",18,2005,21.2,0,21,0,0,0,0,0,0.0,0,0,0,0,13,0,0,0,defense,SWE,"MF,DF",18,2005,21.2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,SWE,"MF,DF",18,2005,31,1905,61,66.1,21.2,22,75,5,9,29,0,1.84,31,17,14,0.66,0.57,0.0,0.0,0.0,0.0,0.0,playing_time,SWE,"MF,DF",18,2005,21.2,8,0,0,30,26,2,63,13,21,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Austria Wien,Reinhold Ranftl,AUT,"MF,DF",32,1992,30,30,2698,30.0,2,3,5,2,0,0,6,1,0.0,0.0,0.0,0.0,0,0,0,0.07,0.1,0.17,0.07,0.17,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",32,1992,30.0,2,19,4,21.1,0.63,0.13,0.11,0.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",32,1992,30.0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",32,1992,30.0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",32,1992,30.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",32,1992,30.0,0,36,0,0,0,0,0,0.0,0,0,0,0,32,0,0,0,defense,AUT,"MF,DF",32,1992,30.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",32,1992,30,2698,90,93.7,30.0,30,90,29,0,0,0,1.9,45,30,15,0.5,0.5,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",32,1992,30.0,6,1,1,27,44,2,113,32,36,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2025-26,Blau-Weiß Linz,Alem Pašić,SVN,"MF,DF",28-018,1997,5,5,431,4.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SVN,"MF,DF",28-018,1997,4.8,0,2,0,0.0,0.42,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,SVN,"MF,DF",28-018,1997,4.8,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,SVN,"MF,DF",28-018,1997,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,passing_types,SVN,"MF,DF",28-018,1997,4.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,SVN,"MF,DF",28-018,1997,4.8,0,5,0,0,0,0,0,0.0,0,0,0,0,11,0,0,0,defense,SVN,"MF,DF",28-018,1997,4.8,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,SVN,"MF,DF",28-018,1997,5,431,86,95.8,4.8,5,86,4,0,0,0,0.2,2,9,-7,-1.46,-1.46,0.0,0.0,0.0,0.0,0.0,playing_time,SVN,"MF,DF",28-018,1997,4.8,3,0,0,14,3,0,2,11,5,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,31,30,2494,27.7,2,5,7,2,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.07,0.18,0.25,0.07,0.25,0.0,0.0,0.0,0.0,0.0,standard,BRA,"MF,DF",26,1998,27.7,2,39,14,35.9,1.41,0.51,0.05,0.14,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BRA,"MF,DF",26,1998,27.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,5,0.0,0.0,0.0,0,0,0,0,0,passing,BRA,"MF,DF",26,1998,27.7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,passing_types,BRA,"MF,DF",26,1998,27.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,"MF,DF",26,1998,27.7,0,49,0,0,0,0,0,0.0,0,0,0,0,36,0,0,0,defense,BRA,"MF,DF",26,1998,27.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,BRA,"MF,DF",26,1998,31,2494,80,86.6,27.7,30,82,20,1,35,0,1.23,30,38,-8,-0.29,-0.29,0.0,0.0,0.0,0.0,0.0,playing_time,BRA,"MF,DF",26,1998,27.7,3,0,0,26,12,5,100,36,49,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Marcel Schantl,AUT,"MF,DF",22,2000,18,4,472,5.2,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",22,2000,5.2,0,5,3,60.0,0.95,0.57,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",22,2000,5.2,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",22,2000,5.2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",22,2000,5.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",22,2000,5.2,0,5,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,defense,AUT,"MF,DF",22,2000,5.2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",22,2000,18,472,26,16.4,5.2,4,63,0,14,16,5,1.33,6,6,0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",22,2000,5.2,0,0,0,6,0,1,13,3,5,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",26,1997,31,31,2667,29.6,4,4,8,4,0,0,8,0,0.0,0.0,0.0,0.0,0,0,0,0.13,0.13,0.27,0.13,0.27,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",26,1997,29.6,4,19,6,31.6,0.64,0.2,0.21,0.67,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",26,1997,29.6,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,4,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",26,1997,29.6,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",26,1997,29.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",26,1997,29.6,0,45,0,0,0,0,0,0.0,0,0,0,0,25,0,0,0,defense,AUT,"MF,DF",26,1997,29.6,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",26,1997,31,2667,86,92.6,29.6,31,86,24,0,0,0,1.03,33,43,-10,-0.34,1.78,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",26,1997,29.6,8,0,0,27,38,4,138,25,45,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",27,1997,30,29,2399,26.7,2,2,4,2,0,0,4,1,0.0,0.0,0.0,0.0,0,0,0,0.08,0.08,0.15,0.08,0.15,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",27,1997,26.7,2,17,4,23.5,0.64,0.15,0.12,0.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",27,1997,26.7,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",27,1997,26.7,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",27,1997,26.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",27,1997,26.7,0,39,0,0,0,0,0,0.0,0,0,0,0,20,0,0,0,defense,AUT,"MF,DF",27,1997,26.7,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",27,1997,30,2399,80,83.3,26.7,29,81,16,1,45,0,1.27,30,35,-5,-0.19,0.37,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",27,1997,26.7,4,1,0,26,16,0,81,20,39,0,0,0,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Grazer AK,Benjamin Rosenberger,AUT,"MF,DF",28,1996,26,18,1546,17.2,1,2,3,1,0,0,7,0,0.0,0.0,0.0,0.0,0,0,0,0.06,0.12,0.17,0.06,0.17,0.0,0.0,0.0,0.0,0.0,standard,AUT,"MF,DF",28,1996,17.2,1,10,1,10.0,0.58,0.06,0.1,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUT,"MF,DF",28,1996,17.2,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,AUT,"MF,DF",28,1996,17.2,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,passing_types,AUT,"MF,DF",28,1996,17.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUT,"MF,DF",28,1996,17.2,0,36,0,0,0,0,0,0.0,0,0,0,0,18,0,0,0,defense,AUT,"MF,DF",28,1996,17.2,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUT,"MF,DF",28,1996,26,1546,59,53.7,17.2,18,75,10,8,26,0,0.88,15,29,-14,-0.82,-0.41,0.0,0.0,0.0,0.0,0.0,playing_time,AUT,"MF,DF",28,1996,17.2,7,0,0,33,11,0,61,18,36,0,0,1,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
AUT-Bundesliga,2024-25,Grazer AK,Jacob Italiano,AUS,"MF,DF",23,2001,28,17,1719,19.1,1,2,3,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.05,0.1,0.16,0.05,0.16,0.0,0.0,0.0,0.0,0.0,standard,AUS,"MF,DF",23,2001,19.1,1,18,4,22.2,0.94,0.21,0.06,0.25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,AUS,"MF,DF",23,2001,19.1,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0,0,0,0,0,passing,AUS,"MF,DF",23,2001,19.1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,passing_types,AUS,"MF,DF",23,2001,19.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,AUS,"MF,DF",23,2001,19.1,0,33,0,0,0,0,0,0.0,0,0,0,0,29,0,0,0,defense,AUS,"MF,DF",23,2001,19.1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,possession,AUS,"MF,DF",23,2001,28,1719,61,59.7,19.1,17,83,11,11,28,0,0.96,24,31,-7,-0.37,0.64,0.0,0.0,0.0,0.0,0.0,playing_time,AUS,"MF,DF",23,2001,19.1,4,0,0,20,23,0,58,29,33,0,0,1,0,0,0,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
