league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
NED-Eredivisie,2023-24,AZ Alkmaar,Alexandre Penetra,POR,DF,21,2001,25,19,1756,19.5,0,1,1,0,0,0,0,0,1.0,1.0,0.9,2.0,8,66,7,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.1,0.05,0.1,standard,POR,DF,21,2001,19.5,0,13,1,7.7,0.67,0.05,0.0,0.0,13.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,shooting,POR,DF,21,2001,19.5,1107,1267,87.4,22450,8102,337,368,91.6,624,680,91.8,137,205,66.8,1,0.9,0.7,0.1,5,77,4,2,66,passing,POR,DF,21,2001,19.5,1267,1204,62,18,1,11,8,23,0,0,0,0,1107,1,4,passing_types,POR,DF,21,2001,19.5,15,0.77,12,1,0,2,0,0,4,0.21,2,1,0,1,0,0,goal_shot_creation,POR,DF,21,2001,19.5,13,7,10,2,1,11,16,68.8,5,19,14,5,20,33,76,0,defense,POR,DF,21,2001,19.5,1435,205,723,665,50,10,1435,2,0,0.0,2,100.0,807,3813,2221,8,9,0,2,1,1012,7,possession,POR,DF,21,2001,25,1756,70,57.4,19.5,19,86,16,6,19,9,1.96,41,21,20,1.03,0.27,33.2,22.5,10.7,0.55,0.12,playing_time,POR,DF,21,2001,19.5,0,0,0,8,8,0,8,20,7,0,0,0,72,41,48,46.1,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2024-25,AZ Alkmaar,Alexandre Penetra,POR,DF,22,2001,31,31,2594,28.8,0,0,0,0,0,0,5,1,1.2,1.2,0.9,2.1,22,137,3,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,standard,POR,DF,22,2001,28.8,0,16,5,31.3,0.56,0.17,0.0,0.0,10.9,0,0,0,1.2,1.2,0.07,-1.2,-1.2,shooting,POR,DF,22,2001,28.8,1791,2002,89.5,36213,11589,502,538,93.3,1088,1143,95.2,194,297,65.3,0,0.9,0.8,-0.9,8,132,4,0,137,passing,POR,DF,22,2001,28.8,2002,1949,51,30,2,13,5,2,0,0,0,0,1791,2,6,passing_types,POR,DF,22,2001,28.8,25,0.87,22,0,0,1,2,0,4,0.14,4,0,0,0,0,0,goal_shot_creation,POR,DF,22,2001,28.8,22,15,12,10,0,14,24,58.3,10,28,21,7,37,59,147,2,defense,POR,DF,22,2001,28.8,2285,236,950,1288,55,17,2285,5,3,60.0,2,40.0,1435,7634,4401,22,18,0,6,0,1661,3,possession,POR,DF,22,2001,31,2594,84,84.8,28.8,31,84,24,0,0,2,1.79,49,28,21,0.73,0.73,47.4,29.7,17.7,0.61,0.1,playing_time,POR,DF,22,2001,28.8,5,1,1,15,20,0,5,37,15,0,0,0,96,51,57,47.2,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2025-26,AZ Alkmaar,Alexandre Penetra,POR,DF,24-001,2001,3,3,270,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,15,1,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.02,0.03,standard,POR,DF,24-001,2001,3.0,0,1,0,0.0,0.33,0.0,0.0,0.0,8.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,POR,DF,24-001,2001,3.0,184,196,93.9,3479,1183,69,72,95.8,97,102,95.1,17,21,81.0,0,0.0,0.1,0.0,1,15,0,0,15,passing,POR,DF,24-001,2001,3.0,196,186,10,6,0,1,0,1,0,0,0,0,184,0,0,passing_types,POR,DF,24-001,2001,3.0,4,1.33,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,POR,DF,24-001,2001,3.0,3,2,3,0,0,2,3,66.7,1,3,0,3,2,5,17,0,defense,POR,DF,24-001,2001,3.0,226,35,92,126,9,2,226,1,1,100.0,0,0.0,148,837,484,1,1,0,0,0,155,1,possession,POR,DF,24-001,2001,3,270,90,100.0,3.0,3,90,3,0,0,0,2.33,7,3,4,1.33,0.0,5.7,3.9,1.8,0.61,0.0,playing_time,POR,DF,24-001,2001,3.0,1,0,0,2,3,0,0,2,2,0,0,0,12,4,7,36.4,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2023-24,AZ Alkmaar,Bruno Martins Indi,NED,DF,31,1992,14,7,759,8.4,1,2,3,1,0,0,3,0,0.9,0.9,2.1,3.0,22,68,5,0.12,0.24,0.36,0.12,0.36,0.11,0.25,0.36,0.11,0.36,standard,NED,DF,31,1992,8.4,1,6,3,50.0,0.71,0.36,0.17,0.33,9.6,0,0,0,0.9,0.9,0.15,0.1,0.1,shooting,NED,DF,31,1992,8.4,531,610,87.0,10021,3806,207,224,92.4,267,289,92.4,53,85,62.4,2,2.1,1.0,-0.1,10,66,15,3,68,passing,NED,DF,31,1992,8.4,610,576,32,20,0,5,7,9,0,0,0,0,531,2,2,passing_types,NED,DF,31,1992,8.4,23,2.73,21,0,1,1,0,0,3,0.36,3,0,0,0,0,0,goal_shot_creation,NED,DF,31,1992,8.4,9,4,6,3,0,3,4,75.0,1,14,10,4,7,16,25,1,defense,NED,DF,31,1992,8.4,685,70,236,373,80,11,685,2,1,50.0,1,50.0,415,2623,1833,22,21,0,4,1,481,5,possession,NED,DF,31,1992,14,759,54,24.8,8.4,7,83,5,7,25,3,1.43,10,13,-3,-0.36,-1.69,13.7,13.3,0.4,0.04,-0.6,playing_time,NED,DF,31,1992,8.4,3,0,0,7,4,0,7,7,4,0,0,0,50,14,16,46.7,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2024-25,AZ Alkmaar,Bruno Martins Indi,NED,DF,32,1992,10,6,551,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,6,35,5,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,standard,NED,DF,32,1992,6.1,0,3,0,0.0,0.49,0.0,0.0,0.0,19.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting,NED,DF,32,1992,6.1,434,475,91.4,8336,2649,132,137,96.4,270,283,95.4,30,48,62.5,0,0.2,0.2,-0.2,3,39,2,0,35,passing,NED,DF,32,1992,6.1,475,449,24,16,1,2,0,1,0,0,0,0,434,2,2,passing_types,NED,DF,32,1992,6.1,9,1.47,8,1,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,DF,32,1992,6.1,3,2,1,2,0,1,1,100.0,0,1,1,0,4,7,26,1,defense,NED,DF,32,1992,6.1,520,47,198,291,33,4,520,2,0,0.0,1,50.0,353,1682,977,6,10,0,1,1,396,5,possession,NED,DF,32,1992,10,551,55,18.0,6.1,6,78,3,4,20,14,1.2,8,11,-3,-0.49,-1.35,8.3,7.2,1.1,0.17,-0.52,playing_time,NED,DF,32,1992,6.1,1,0,0,8,7,1,0,4,2,0,0,0,13,7,9,43.8,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2023-24,AZ Alkmaar,Dani de Wit,NED,MF,25,1998,32,29,2513,27.9,10,3,13,9,1,1,7,1,5.8,5.0,2.5,7.5,16,76,107,0.36,0.11,0.47,0.32,0.43,0.21,0.09,0.3,0.18,0.27,standard,NED,MF,25,1998,27.9,10,39,14,35.9,1.4,0.5,0.23,0.64,11.4,0,1,1,5.8,5.0,0.13,4.2,4.0,shooting,NED,MF,25,1998,27.9,700,923,75.8,9257,2185,426,517,82.4,213,271,78.6,19,32,59.4,3,2.5,1.5,0.5,28,48,18,2,76,passing,NED,MF,25,1998,27.9,923,894,26,6,1,0,9,18,0,0,0,0,700,3,29,passing_types,NED,MF,25,1998,27.9,43,1.54,40,0,0,1,2,0,2,0.07,2,0,0,0,0,0,goal_shot_creation,NED,MF,25,1998,27.9,46,25,8,26,12,19,46,41.3,27,33,6,27,16,62,30,0,defense,NED,MF,25,1998,27.9,1204,43,188,626,391,89,1203,18,5,27.8,11,61.1,526,1947,618,16,13,2,43,17,817,107,possession,NED,MF,25,1998,32,2513,79,82.1,27.9,29,83,18,3,34,1,1.91,58,29,29,1.04,0.71,44.6,30.4,14.1,0.51,0.06,playing_time,NED,MF,25,1998,27.9,7,1,0,68,29,5,9,16,25,0,1,0,57,103,82,55.7,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2023-24,AZ Alkmaar,Dave Kwakman,NED,MF,18,2004,3,1,76,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,13,0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,standard,NED,MF,18,2004,0.8,0,2,0,0.0,2.37,0.0,0.0,0.0,21.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting,NED,MF,18,2004,0.8,61,64,95.3,1007,295,31,31,100.0,27,29,93.1,3,3,100.0,0,0.0,0.3,0.0,0,10,4,0,13,passing,NED,MF,18,2004,0.8,64,62,2,2,0,0,2,0,0,0,0,0,61,0,1,passing_types,NED,MF,18,2004,0.8,4,4.74,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,MF,18,2004,0.8,1,0,0,1,0,1,4,25.0,3,0,0,0,1,2,0,0,defense,NED,MF,18,2004,0.8,73,0,6,45,22,1,73,2,0,0.0,0,0.0,43,210,83,2,1,1,0,1,58,0,possession,NED,MF,18,2004,3,76,25,2.5,0.8,1,61,0,2,8,5,3.0,0,2,-2,-2.37,-3.36,2.0,0.7,1.3,1.59,1.13,playing_time,NED,MF,18,2004,0.8,0,0,0,3,4,0,2,1,0,0,0,0,5,0,5,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2024-25,AZ Alkmaar,Dave Kwakman,NED,"MF,FW",19,2004,5,2,150,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,NED,"MF,FW",19,2004,1.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,NED,"MF,FW",19,2004,1.7,62,75,82.7,1157,182,28,29,96.6,23,24,95.8,10,14,71.4,0,0.0,0.0,0.0,0,6,1,0,4,passing,NED,"MF,FW",19,2004,1.7,75,75,0,0,0,0,0,0,0,0,0,0,62,0,4,passing_types,NED,"MF,FW",19,2004,1.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,NED,"MF,FW",19,2004,1.7,5,1,2,2,1,5,6,83.3,1,0,0,0,2,7,4,1,defense,NED,"MF,FW",19,2004,1.7,97,5,25,58,16,0,97,8,6,75.0,2,25.0,61,339,153,2,5,0,2,0,63,2,possession,NED,"MF,FW",19,2004,5,150,30,4.9,1.7,2,55,0,3,14,7,1.4,2,4,-2,-1.2,-1.91,1.1,1.6,-0.5,-0.3,-0.95,playing_time,NED,"MF,FW",19,2004,1.7,1,0,0,2,1,0,0,2,1,0,0,0,11,1,1,50.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2023-24,AZ Alkmaar,David Møller Wolfe,NOR,DF,21,2002,34,29,2374,26.4,1,2,3,1,0,0,4,0,2.1,2.1,2.8,4.9,68,83,137,0.04,0.08,0.11,0.04,0.11,0.08,0.11,0.19,0.08,0.19,standard,NOR,DF,21,2002,26.4,1,14,5,35.7,0.53,0.19,0.07,0.2,14.6,0,0,0,2.1,2.1,0.15,-1.1,-1.1,shooting,NOR,DF,21,2002,26.4,1041,1315,79.2,15999,5305,555,623,89.1,406,498,81.5,51,107,47.7,2,2.8,4.5,-0.8,18,61,17,7,83,passing,NOR,DF,21,2002,26.4,1315,1075,237,22,0,2,54,215,0,0,0,0,1041,3,36,passing_types,NOR,DF,21,2002,26.4,40,1.52,35,0,0,3,0,2,2,0.08,2,0,0,0,0,0,goal_shot_creation,NOR,DF,21,2002,26.4,44,25,26,11,7,21,38,55.3,17,26,9,17,30,74,43,0,defense,NOR,DF,21,2002,26.4,1584,87,472,692,437,51,1584,43,16,37.2,25,58.1,835,5493,2841,68,48,12,29,17,906,137,possession,NOR,DF,21,2002,34,2374,70,77.6,26.4,29,79,13,5,14,0,1.91,51,33,18,0.68,-1.02,41.6,29.1,12.5,0.47,-0.1,playing_time,NOR,DF,21,2002,26.4,4,0,0,23,17,0,54,30,25,0,0,0,144,30,24,55.6,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
NED-Eredivisie,2024-25,AZ Alkmaar,David Møller Wolfe,NOR,DF,22,2002,31,30,2500,27.8,2,5,7,2,0,0,5,1,1.2,1.2,2.3,3.6,85,107,149,0.07,0.18,0.25,0.07,0.25,0.04,0.08,0.13,0.04,0.13,standard,NOR,DF,22,2002,27.8,2,15,4,26.7,0.54,0.14,0.13,0.5,17.2,0,0,0,1.2,1.2,0.09,0.8,0.8,shooting,NOR,DF,22,2002,27.8,1169,1459,80.1,18474,5732,631,698,90.4,437,546,80.0,74,141,52.5,5,2.3,2.5,2.7,18,90,24,8,107,passing,NOR,DF,22,2002,27.8,1459,1220,238,22,1,4,58,216,0,0,0,0,1169,1,39,passing_types,NOR,DF,22,2002,27.8,52,1.87,43,1,1,4,2,1,9,0.32,9,0,0,0,0,0,goal_shot_creation,NOR,DF,22,2002,27.8,28,24,12,12,4,14,31,45.2,17,24,7,17,24,52,62,0,defense,NOR,DF,22,2002,27.8,1724,49,464,734,540,75,1724,49,17,34.7,30,61.2,962,5888,3135,85,62,13,32,14,1081,149,possession,NOR,DF,22,2002,31,2500,81,81.7,27.8,30,82,17,1,45,1,1.79,41,25,16,0.58,-0.23,44.0,24.6,19.4,0.7,0.54,playing_time,NOR,DF,22,2002,27.8,5,1,0,22,31,2,58,24,24,0,0,1,110,30,29,50.8,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
