league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g_a,performance_g_pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,expected_xg,expected_npxg,expected_xag,expected_npxg_xag,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g_a,per_90_minutes_g_pk,per_90_minutes_g_a_pk,per_90_minutes_xg,per_90_minutes_xag,per_90_minutes_xg_xag,per_90_minutes_npxg,per_90_minutes_npxg_xag,stat_type,nation_shooting,position_shooting,age_shooting,born_shooting,90s,standard_gls,standard_sh,standard_sot,standard_sot_pct,standard_sh_90,standard_sot_90,standard_g_sh,standard_g_sot,standard_dist,standard_fk,standard_pk,standard_pkatt,expected_xg_shooting,expected_npxg_shooting,expected_npxg_sh,expected_g_xg,expected_np_g_xg,stat_type_shooting,nation_passing,position_passing,age_passing,born_passing,90s_passing,total_cmp,total_att,total_cmp_pct,total_totdist,total_prgdist,short_cmp,short_att,short_cmp_pct,medium_cmp,medium_att,medium_cmp_pct,long_cmp,long_att,long_cmp_pct,ast,xag,expected_xa,expected_a_xag,kp,1_3,ppa,crspa,progressive_passes,stat_type_passing,nation_passing_types,position_passing_types,age_passing_types,born_passing_types,90s_passing_types,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks,stat_type_passing_types,nation_goal_shot_creation,position_goal_shot_creation,age_goal_shot_creation,born_goal_shot_creation,90s_goal_shot_creation,sca_sca,sca_sca90,sca_types_passlive,sca_types_passdead,sca_types_to,sca_types_sh,sca_types_fld,sca_types_def,gca_gca,gca_gca90,gca_types_passlive,gca_types_passdead,gca_types_to,gca_types_sh,gca_types_fld,gca_types_def,stat_type_goal_shot_creation,nation_defense,position_defense,age_defense,born_defense,90s_defense,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tkl_pct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,interceptions,tkl_int,clearances,err,stat_type_defense,nation_possession,position_possession,age_possession,born_possession,90s_possession,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take_ons_att,take_ons_succ,take_ons_succ_pct,take_ons_tkld,take_ons_tkld_pct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,stat_type_possession,nation_playing_time,position_playing_time,age_playing_time,born_playing_time,playing_time_mp_playing_time,playing_time_min_playing_time,playing_time_mn_mp,playing_time_min_pct,playing_time_90s_playing_time,starts_starts,starts_mn_start,starts_compl,subs_subs,subs_mn_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_,team_success_90,team_success_on_off,team_success_xg_onxg,team_success_xg_onxga,team_success_xg_xg_,team_success_xg_xg_90,team_success_xg_on_off,stat_type_playing_time,nation_misc,position_misc,age_misc,born_misc,90s_misc,performance_crdy_misc,performance_crdr_misc,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct,stat_type_misc,nation_keeper,position_keeper,age_keeper,born_keeper,playing_time_mp_keeper,playing_time_starts_keeper,playing_time_min_keeper,playing_time_90s_keeper,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,stat_type_keeper,nation_keeper_adv,position_keeper_adv,age_keeper_adv,born_keeper_adv,90s_keeper_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_sot,expected_psxg_,expected_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_gk,passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_opa,sweeper_opa_90,sweeper_avgdist,stat_type_keeper_adv
POR-Primeira Liga,2024-25,AVS Futebol,Aderlan Santos,BRA,DF,35,1989,10,8,598,6.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BRA,DF,35,1989,6.6,0,1,0,0.0,0.15,0.0,0.0,0.0,74.3,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,BRA,DF,35,1989,6.6,152,189,80.4,3206,1081,33,41,80.5,99,106,93.4,17,35,48.6,0,0.0,0.0,0.0,0,2,1,0,4,passing,BRA,DF,35,1989,6.6,189,177,12,10,0,0,0,1,0,0,0,0,152,0,4,passing_types,BRA,DF,35,1989,6.6,2,0.3,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,DF,35,1989,6.6,7,6,5,2,0,2,5,40.0,3,15,11,4,4,11,63,2,defense,BRA,DF,35,1989,6.6,292,87,200,91,2,1,292,0,0,0.0,0,0.0,113,367,118,0,0,0,4,0,128,2,possession,BRA,DF,35,1989,10,598,60,19.5,6.6,8,73,5,2,7,1,1.2,5,12,-7,-1.05,-0.03,4.6,9.5,-4.9,-0.74,-0.07,playing_time,BRA,DF,35,1989,6.6,1,0,0,7,1,0,0,4,6,0,0,1,16,16,13,55.2,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2025-26,AVS Futebol,Aderlan Santos,BRA,DF,36-154,1989,4,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,7,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,BRA,DF,36-154,1989,4.0,0,7,1,14.3,1.75,0.25,0.0,0.0,17.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting,BRA,DF,36-154,1989,4.0,143,178,80.3,2982,935,44,47,93.6,76,80,95.0,21,48,43.8,0,0.0,0.1,0.0,1,8,1,1,7,passing,BRA,DF,36-154,1989,4.0,178,167,11,9,0,2,1,2,0,0,0,0,143,0,1,passing_types,BRA,DF,36-154,1989,4.0,4,1.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,BRA,DF,36-154,1989,4.0,8,5,7,0,1,3,4,75.0,1,2,1,1,3,11,33,0,defense,BRA,DF,36-154,1989,4.0,234,45,145,76,15,8,234,2,2,100.0,0,0.0,112,477,264,2,1,0,1,0,136,0,possession,BRA,DF,36-154,1989,4,360,90,100.0,4.0,4,90,4,0,0,0,0.25,3,8,-5,-1.25,0.0,3.5,5.4,-1.9,-0.48,0.0,playing_time,BRA,DF,36-154,1989,4.0,1,0,0,3,2,0,1,3,5,0,0,0,20,16,6,72.7,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2024-25,AVS Futebol,Babatunde Akinsola,NGA,"MF,FW",21,2003,30,11,1170,13.0,2,1,3,2,0,0,1,0,2.9,2.9,0.8,3.6,43,33,88,0.15,0.08,0.23,0.15,0.23,0.22,0.06,0.28,0.22,0.28,standard,NGA,"MF,FW",21,2003,13.0,2,28,6,21.4,2.15,0.46,0.07,0.33,18.2,0,0,0,2.9,2.9,0.1,-0.9,-0.9,shooting,NGA,"MF,FW",21,2003,13.0,209,309,67.6,3066,915,113,142,79.6,73,98,74.5,10,34,29.4,1,0.8,1.2,0.2,11,19,11,2,33,passing,NGA,"MF,FW",21,2003,13.0,309,273,34,3,1,0,43,28,3,2,1,0,209,2,15,passing_types,NGA,"MF,FW",21,2003,13.0,33,2.54,23,2,4,1,3,0,5,0.38,4,0,0,0,1,0,goal_shot_creation,NGA,"MF,FW",21,2003,13.0,16,13,6,9,1,11,20,55.0,9,18,2,16,7,23,16,0,defense,NGA,"MF,FW",21,2003,13.0,518,14,78,204,252,31,518,69,29,42.0,35,50.7,303,2284,1004,43,38,7,50,21,312,88,possession,NGA,"MF,FW",21,2003,30,1170,39,38.2,13.0,11,67,1,19,23,1,0.8,15,25,-10,-0.77,0.42,16.6,19.7,-3.1,-0.24,0.72,playing_time,NGA,"MF,FW",21,2003,13.0,1,0,0,11,23,2,43,7,13,0,0,0,64,10,13,43.5,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2025-26,AVS Futebol,Babatunde Akinsola,NGA,FW,22-184,2003,4,4,319,3.5,0,2,2,0,0,0,0,0,0.3,0.3,1.1,1.3,14,8,23,0.0,0.56,0.56,0.0,0.56,0.07,0.3,0.37,0.07,0.37,standard,NGA,FW,22-184,2003,3.5,0,6,1,16.7,1.69,0.28,0.0,0.0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,NGA,FW,22-184,2003,3.5,37,57,64.9,688,215,20,24,83.3,12,18,66.7,5,9,55.6,2,1.1,0.2,0.9,5,3,4,1,8,passing,NGA,FW,22-184,2003,3.5,57,55,2,0,0,0,9,2,0,0,0,0,37,0,5,passing_types,NGA,FW,22-184,2003,3.5,11,3.09,7,0,1,2,1,0,2,0.56,1,0,0,1,0,0,goal_shot_creation,NGA,FW,22-184,2003,3.5,2,2,1,0,1,2,3,66.7,1,2,0,2,1,3,4,0,defense,NGA,FW,22-184,2003,3.5,97,0,17,32,54,5,97,13,6,46.2,6,46.2,65,546,291,14,9,2,14,9,68,23,possession,NGA,FW,22-184,2003,4,319,80,88.6,3.5,4,80,2,0,0,0,0.25,3,7,-4,-1.13,1.07,3.5,4.7,-1.2,-0.34,1.23,playing_time,NGA,FW,22-184,2003,3.5,0,0,0,3,8,2,9,1,2,0,0,0,14,1,2,33.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2024-25,AVS Futebol,Baptiste Roux,FRA,DF,24,1999,23,22,1863,20.7,1,1,2,1,0,0,4,0,0.4,0.4,0.3,0.7,6,45,3,0.05,0.05,0.1,0.05,0.1,0.02,0.02,0.03,0.02,0.03,standard,FRA,DF,24,1999,20.7,1,5,1,20.0,0.24,0.05,0.2,1.0,8.5,0,0,0,0.4,0.4,0.08,0.6,0.6,shooting,FRA,DF,24,1999,20.7,781,951,82.1,15793,5715,234,261,89.7,451,498,90.6,92,172,53.5,1,0.3,0.5,0.7,5,58,5,3,45,passing,FRA,DF,24,1999,20.7,951,916,32,28,1,5,11,0,0,0,0,0,781,3,7,passing_types,FRA,DF,24,1999,20.7,19,0.92,18,0,0,1,0,0,2,0.1,2,0,0,0,0,0,goal_shot_creation,FRA,DF,24,1999,20.7,34,19,22,10,2,20,38,52.6,18,28,14,14,25,59,95,0,defense,FRA,DF,24,1999,20.7,1158,151,612,505,46,11,1158,2,1,50.0,1,50.0,565,2373,1209,6,5,0,4,0,719,3,possession,FRA,DF,24,1999,23,1863,81,60.9,20.7,22,84,18,1,26,2,0.74,17,39,-22,-1.06,-0.09,19.1,34.6,-15.5,-0.75,-0.16,playing_time,FRA,DF,24,1999,20.7,4,0,0,21,7,0,11,25,19,0,1,0,79,51,18,73.9,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2025-26,AVS Futebol,Bruno Lourenço,POR,MF,27-220,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POR,MF,27-220,1998,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,POR,MF,27-220,1998,0.3,12,17,70.6,223,46,3,5,60.0,9,11,81.8,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,2,passing,POR,MF,27-220,1998,0.3,17,14,3,3,0,0,2,0,0,0,0,0,12,0,0,passing_types,POR,MF,27-220,1998,0.3,1,3.46,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,POR,MF,27-220,1998,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,defense,POR,MF,27-220,1998,0.3,19,0,3,7,9,0,19,1,0,0.0,0,0.0,9,48,23,0,0,0,1,0,9,2,possession,POR,MF,27-220,1998,1,26,26,7.2,0.3,0,0,0,1,26,0,0.0,0,1,-1,-3.46,-2.38,0.4,0.1,0.3,0.87,1.45,playing_time,POR,MF,27-220,1998,0.3,0,0,0,0,2,0,2,0,0,0,0,0,1,1,0,100.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2024-25,AVS Futebol,Christian Neiva Afonso,POR,"DF,MF",29,1994,26,21,1619,18.0,1,2,3,1,0,0,5,1,0.4,0.4,2.0,2.4,13,43,42,0.06,0.11,0.17,0.06,0.17,0.02,0.11,0.13,0.02,0.13,standard,POR,"DF,MF",29,1994,18.0,1,14,1,7.1,0.78,0.06,0.07,1.0,25.4,0,0,0,0.4,0.4,0.03,0.6,0.6,shooting,POR,"DF,MF",29,1994,18.0,555,810,68.5,9942,4105,241,269,89.6,241,339,71.1,65,160,40.6,2,2.0,1.7,0.0,17,38,14,8,43,passing,POR,"DF,MF",29,1994,18.0,810,587,216,23,1,3,52,181,12,10,2,0,555,7,15,passing_types,POR,"DF,MF",29,1994,18.0,42,2.33,28,7,0,1,3,3,3,0.17,3,0,0,0,0,0,goal_shot_creation,POR,"DF,MF",29,1994,18.0,32,26,15,11,6,18,27,66.7,9,26,9,17,15,47,53,3,defense,POR,"DF,MF",29,1994,18.0,984,57,327,429,238,6,984,8,4,50.0,3,37.5,414,1818,828,13,14,1,18,11,482,42,possession,POR,"DF,MF",29,1994,26,1619,62,52.9,18.0,21,72,7,5,19,0,0.73,12,38,-26,-1.45,-0.88,15.7,31.6,-16.0,-0.89,-0.43,playing_time,POR,"DF,MF",29,1994,18.0,5,1,1,35,17,1,52,15,26,0,0,0,74,21,17,55.3,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2025-26,AVS Futebol,Christian Neiva Afonso,POR,DF,30-274,1994,3,2,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,3,6,12,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.08,0.01,0.08,standard,POR,DF,30-274,1994,2.0,0,1,0,0.0,0.49,0.0,0.0,0.0,28.3,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting,POR,DF,30-274,1994,2.0,79,115,68.7,1494,796,30,37,81.1,38,48,79.2,8,22,36.4,0,0.2,0.1,-0.2,4,9,2,0,6,passing,POR,DF,30-274,1994,2.0,115,82,32,6,0,1,9,25,1,0,1,0,79,1,1,passing_types,POR,DF,30-274,1994,2.0,5,2.46,2,2,0,1,0,0,0,0.0,0,0,0,0,0,0,goal_shot_creation,POR,DF,30-274,1994,2.0,4,2,1,2,1,1,1,100.0,0,1,0,1,3,7,8,0,defense,POR,DF,30-274,1994,2.0,134,4,35,66,33,0,134,0,0,0.0,0,0.0,55,272,162,3,2,0,3,0,62,12,possession,POR,DF,30-274,1994,3,183,61,50.8,2.0,2,90,2,1,3,1,0.33,1,5,-4,-1.97,-1.46,2.4,2.6,-0.3,-0.14,0.69,playing_time,POR,DF,30-274,1994,2.0,0,0,0,8,4,0,9,3,2,0,0,0,9,9,1,90.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2024-25,AVS Futebol,Clayton,BRA,DF,24,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BRA,DF,24,2000,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,shooting,BRA,DF,24,2000,2.0,82,92,89.1,1732,821,19,21,90.5,48,50,96.0,13,19,68.4,0,0.0,0.0,0.0,0,5,0,0,8,passing,BRA,DF,24,2000,2.0,92,90,2,2,0,1,0,0,0,0,0,0,82,0,0,passing_types,BRA,DF,24,2000,2.0,2,1.0,2,0,0,0,0,0,1,0.5,1,0,0,0,0,0,goal_shot_creation,BRA,DF,24,2000,2.0,0,0,0,0,0,0,3,0.0,3,5,1,4,1,1,7,0,defense,BRA,DF,24,2000,2.0,107,16,59,48,0,0,107,0,0,0.0,0,0.0,66,188,60,0,0,0,1,0,76,0,possession,BRA,DF,24,2000,2,180,90,5.9,2.0,2,90,2,0,0,0,0.5,3,5,-2,-1.0,0.03,2.5,3.2,-0.7,-0.35,0.36,playing_time,BRA,DF,24,2000,2.0,1,0,0,0,1,0,0,1,0,0,0,0,6,0,1,0.0,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
POR-Primeira Liga,2024-25,AVS Futebol,Cristian Castro,COL,DF,23,2001,32,32,2745,30.5,1,1,2,1,0,0,5,0,0.6,0.6,1.4,2.0,10,65,1,0.03,0.03,0.07,0.03,0.07,0.02,0.04,0.07,0.02,0.07,standard,COL,DF,23,2001,30.5,1,11,4,36.4,0.36,0.13,0.09,0.25,20.3,0,0,0,0.6,0.6,0.06,0.4,0.4,shooting,COL,DF,23,2001,30.5,1163,1370,84.9,23145,9097,372,401,92.8,643,691,93.1,138,254,54.3,1,1.4,0.7,-0.4,8,57,3,1,65,passing,COL,DF,23,2001,30.5,1370,1312,54,51,5,9,4,2,0,0,0,0,1163,4,6,passing_types,COL,DF,23,2001,30.5,22,0.72,15,1,1,2,2,1,2,0.07,1,0,0,1,0,0,goal_shot_creation,COL,DF,23,2001,30.5,35,29,26,6,3,22,29,75.9,7,25,16,9,35,70,185,3,defense,COL,DF,23,2001,30.5,1705,243,947,731,37,11,1705,6,5,83.3,1,16.7,881,4089,2277,10,6,1,18,4,1069,1,possession,COL,DF,23,2001,32,2745,86,89.7,30.5,32,86,28,0,0,0,0.81,23,57,-34,-1.11,-0.83,27.7,49.2,-21.4,-0.7,-0.18,playing_time,COL,DF,23,2001,30.5,5,0,0,22,21,1,4,35,29,0,0,0,124,33,30,52.4,misc,,,Unknown,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,Unknown,,,Unknown,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,Unknown
