league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
AUT-Bundesliga,2023-24,Austria Wien,Christian Früchtl,GER,GK,23,2000,29,29,2610,29.0,29,1.0,86,65,72.1,10,10,9,12,41.4,8,5,3,0,37.5
AUT-Bundesliga,2023-24,Austria Wien,Mirko Kos,AUT,GK,26,1997,3,3,270,3.0,5,1.67,17,12,70.6,2,0,1,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Andreas Lukse,AUT,GK,35,1987,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,26,1997,31,31,2790,31.0,47,1.52,134,92,68.7,7,11,13,8,25.8,6,5,1,0,16.7
AUT-Bundesliga,2023-24,Hartberg,Raphael Sallinger,AUT,GK,27,1995,32,32,2880,32.0,51,1.59,135,90,65.9,12,9,11,8,25.0,6,5,1,0,16.7
AUT-Bundesliga,2023-24,LASK,Tobias Lawal,AUT,GK,23,2000,32,32,2880,32.0,33,1.03,107,77,72.0,14,10,8,12,37.5,4,3,1,0,25.0
AUT-Bundesliga,2023-24,RB Salzburg,Alexander Schlager,AUT,GK,27,1996,28,28,2520,28.0,24,0.86,73,54,72.6,18,7,3,13,46.4,5,4,1,0,20.0
AUT-Bundesliga,2023-24,RB Salzburg,Nico Mantl,GER,GK,23,2000,1,1,90,1.0,1,1.0,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
AUT-Bundesliga,2023-24,RB Salzburg,Timo Horn,GER,GK,30,1993,3,3,270,3.0,4,1.33,7,4,57.1,2,0,1,0,0.0,1,1,0,0,0.0
