league,season,team,player,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
AUT-Bundesliga,2024-25,Austria Wien,Abubakr Barry,GAM,MF,24,2000,23.9,,,,,,,26,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Aleksandar Dragović,AUT,DF,33,1991,27.9,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Andreas Gruber,AUT,"MF,FW",29,1995,14.7,,,,,,,38,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Cristiano,BRA,MF,22,2001,1.1,,,,,,,6,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,David Ewemade,NGA,DF,19,2005,0.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Dominik Fitz,AUT,"MF,FW",25,1999,29.2,,,,,,,342,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Florian Wustinger,AUT,MF,21,2003,0.3,,,,,,,3,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Hakim Guenouche,FRA,"DF,MF",24,2000,10.1,,,,,,,37,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Johannes Handl,AUT,DF,26,1998,11.6,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Konstantin Aleksa,AUT,FW,17,2007,0.9,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Luca Pazourek,AUT,DF,19,2005,0.2,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Lucas Galvão,BRA,DF,33,1991,16.2,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Manfred Fischer,AUT,MF,28,1995,28.3,,,,,,,21,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marko Raguž,AUT,FW,26,1998,3.0,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin Potzmann,AUT,"MF,DF",30,1993,4.9,,,,,,,7,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin da Graça,LUX,DF,29,1995,0.3,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Matteo Perez Vinlöf,SWE,"MF,DF",18,2005,21.2,,,,,,,63,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Maurice Malone,GER,"FW,MF",23,2000,27.7,,,,,,,52,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Moritz Wels,AUT,MF,19,2004,1.8,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Muharem Huskovic,AUT,FW,21,2003,1.3,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Nik Prelec,SVN,FW,23,2001,26.4,,,,,,,16,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Maybach,AUT,MF,16,2007,2.6,,,,,,,1,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Wiesinger,AUT,DF,30,1994,18.2,,,,,,,4,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Reinhold Ranftl,AUT,"MF,DF",32,1992,30.0,,,,,,,113,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32.0,,,,,,,0,,,,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Tin Plavotic,AUT,DF,27,1997,18.3,,,,,,,2,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",26,1997,21.8,,,,,,,12,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Briedl,AUT,MF,22,2002,22.3,,,,,,,63,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Schmidt,AUT,"FW,MF",26,1998,8.6,,,,,,,7,,,,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,27.7,,,,,,,100,,,,,,,,
