league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
AUT-Bundesliga,2024-25,Austria Wien,Abubakr Barry,GAM,MF,24,2000,30,27,2147,23.9,1,3,4,1,0,0,8,0,,,,,,,,0.04,0.13,0.17,0.04,0.17,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Aleksandar Dragović,AUT,DF,33,1991,29,29,2507,27.9,0,0,0,0,0,0,8,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Andreas Gruber,AUT,"MF,FW",29,1995,29,13,1326,14.7,5,3,8,5,0,0,2,0,,,,,,,,0.34,0.2,0.54,0.34,0.54,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Cristiano,BRA,MF,22,2001,6,0,98,1.1,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,David Ewemade,NGA,DF,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Dominik Fitz,AUT,"MF,FW",25,1999,30,29,2626,29.2,12,12,24,4,8,8,11,0,,,,,,,,0.41,0.41,0.82,0.14,0.55,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Florian Wustinger,AUT,MF,21,2003,3,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Hakim Guenouche,FRA,"DF,MF",24,2000,22,11,912,10.1,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Johannes Handl,AUT,DF,26,1998,15,11,1046,11.6,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Konstantin Aleksa,AUT,FW,17,2007,9,0,85,0.9,0,1,1,0,0,0,0,0,,,,,,,,0.0,1.06,1.06,0.0,1.06,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Luca Pazourek,AUT,DF,19,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Lucas Galvão,BRA,DF,33,1991,22,15,1456,16.2,1,0,1,1,0,0,8,0,,,,,,,,0.06,0.0,0.06,0.06,0.06,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Manfred Fischer,AUT,MF,28,1995,31,30,2551,28.3,3,3,6,3,0,0,6,0,,,,,,,,0.11,0.11,0.21,0.11,0.21,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marko Raguž,AUT,FW,26,1998,20,0,269,3.0,0,1,1,0,0,0,1,0,,,,,,,,0.0,0.33,0.33,0.0,0.33,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin Potzmann,AUT,"MF,DF",30,1993,20,2,445,4.9,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Marvin da Graça,LUX,DF,29,1995,2,0,25,0.3,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Matteo Perez Vinlöf,SWE,"MF,DF",18,2005,31,22,1905,21.2,1,1,2,1,0,0,8,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Maurice Malone,GER,"FW,MF",23,2000,31,31,2492,27.7,11,3,14,11,0,0,6,0,,,,,,,,0.4,0.11,0.51,0.4,0.51,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Moritz Wels,AUT,MF,19,2004,12,0,164,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Muharem Huskovic,AUT,FW,21,2003,6,0,116,1.3,1,0,1,1,0,0,0,0,,,,,,,,0.78,0.0,0.78,0.78,0.78,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Nik Prelec,SVN,FW,23,2001,31,30,2376,26.4,6,0,6,6,0,0,5,0,,,,,,,,0.23,0.0,0.23,0.23,0.23,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Maybach,AUT,MF,16,2007,7,4,231,2.6,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Philipp Wiesinger,AUT,DF,30,1994,22,17,1638,18.2,1,0,1,1,0,0,6,0,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Reinhold Ranftl,AUT,"MF,DF",32,1992,30,30,2698,30.0,2,3,5,2,0,0,6,1,,,,,,,,0.07,0.1,0.17,0.07,0.17,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Samuel Şahin-Radlinger,AUT,GK,31,1992,32,32,2880,32.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Austria Wien,Tin Plavotic,AUT,DF,27,1997,23,19,1644,18.3,2,0,2,2,0,0,3,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alem Pašić,SVN,"DF,MF",26,1997,27,22,1959,21.8,3,1,4,3,0,0,6,0,,,,,,,,0.14,0.05,0.18,0.14,0.18,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Briedl,AUT,MF,22,2002,24,23,2009,22.3,1,1,2,1,0,0,6,0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Alexander Schmidt,AUT,"FW,MF",26,1998,27,6,775,8.6,1,1,2,1,0,0,2,0,,,,,,,,0.12,0.12,0.23,0.12,0.23,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Anderson,BRA,"MF,DF",26,1998,31,30,2494,27.7,2,5,7,2,0,0,3,0,,,,,,,,0.07,0.18,0.25,0.07,0.25,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Andreas Lukse,AUT,GK,36,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Connor Noß,IRL,"FW,MF",23,2001,17,3,673,7.5,2,0,2,2,0,0,3,0,,,,,,,,0.27,0.0,0.27,0.27,0.27,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Danilo Mitrović,SRB,"DF,MF",23,2001,13,6,622,6.9,1,0,1,1,0,0,1,0,,,,,,,,0.14,0.0,0.14,0.14,0.14,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Elias Bakatukanda,GER,DF,20,2004,12,7,717,8.0,1,0,1,1,0,0,1,0,,,,,,,,0.13,0.0,0.13,0.13,0.13,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Fabio Strauss,AUT,DF,29,1994,14,8,728,8.1,0,0,0,0,0,0,1,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Joao Luiz,BRA,FW,25,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Julian Gölles,AUT,"DF,MF",24,1999,17,0,317,3.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Kristijan Dobras,AUT,"MF,FW",31,1992,30,15,1416,15.7,2,2,4,2,0,0,2,0,,,,,,,,0.13,0.13,0.25,0.13,0.25,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Ibertsberger,AUT,MF,20,2003,4,1,126,1.4,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.71,0.71,0.0,0.71,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukas Tursch,AUT,DF,28,1996,4,1,114,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Lukinha,BRA,MF,22,2001,4,2,146,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Manuel Maranda,AUT,DF,27,1997,32,32,2880,32.0,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Martin Moormann,AUT,DF,23,2001,22,22,1740,19.3,0,0,0,0,0,0,5,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Mehmet Ibrahimi,GER,FW,21,2003,3,0,64,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Nicolas Schmid,AUT,GK,27,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.5,0.5,0.0,0.5,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Oliver Wähling,ENG,MF,24,1999,9,2,313,3.5,1,1,2,1,0,0,0,0,,,,,,,,0.29,0.29,0.58,0.29,0.58,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Paul Mensah,GHA,"MF,FW",24,1999,11,4,475,5.3,0,0,0,0,0,0,3,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Radek Vítek,,GK,20,2003,26,26,2340,26.0,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Ronivaldo,BRA,FW,35,1989,31,29,2390,26.6,14,1,15,13,1,1,6,0,,,,,,,,0.53,0.04,0.56,0.49,0.53,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Silvan Wallner,SUI,DF,22,2002,5,3,320,3.6,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Pirkl,AUT,"MF,DF",27,1997,30,29,2399,26.7,2,2,4,2,0,0,4,1,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Simon Seidl,AUT,"MF,FW",21,2002,31,26,1861,20.7,4,3,7,4,0,0,3,0,,,,,,,,0.19,0.15,0.34,0.19,0.34,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Soumaïla Diabaté,MLI,MF,19,2004,26,26,2317,25.7,0,1,1,0,0,0,8,0,,,,,,,,0.0,0.04,0.04,0.0,0.04,,,,,
AUT-Bundesliga,2024-25,Blau-Weiß Linz,Thomas Goiginger,AUT,"FW,MF",31,1993,25,23,1823,20.3,2,4,6,2,0,0,3,0,,,,,,,,0.1,0.2,0.3,0.1,0.3,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Antonio Tikvić,CRO,DF,20,2004,15,13,1208,13.4,0,0,0,0,0,0,5,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Atsushi Zaizen,JPN,MF,25,1999,12,3,414,4.6,1,1,2,1,0,0,3,0,,,,,,,,0.22,0.22,0.43,0.22,0.43,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Benjamin Rosenberger,AUT,"MF,DF",28,1996,26,18,1546,17.2,1,2,3,1,0,0,7,0,,,,,,,,0.06,0.12,0.17,0.06,0.17,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Christian Lichtenberger,AUT,"MF,FW",28,1995,31,24,1894,21.0,4,6,10,4,0,0,6,0,,,,,,,,0.19,0.29,0.48,0.19,0.48,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Daniel Maderner,AUT,FW,28,1995,28,21,1879,20.9,7,3,10,6,1,1,6,0,,,,,,,,0.34,0.14,0.48,0.29,0.43,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dennis Dressel,GER,MF,25,1998,14,9,936,10.4,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Dominik Frieser,AUT,"MF,FW",30,1993,29,26,2003,22.3,1,1,2,1,0,0,2,0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Felix Holzhacker,AUT,MF,22,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Florian Wiegele,AUT,GK,23,2001,15,15,1350,15.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jacob Italiano,AUS,"MF,DF",23,2001,28,17,1719,19.1,1,2,3,1,0,0,4,0,,,,,,,,0.05,0.1,0.16,0.05,0.16,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Jakob Meierhofer,AUT,GK,26,1997,17,17,1530,17.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Lukas Graf,AUT,DF,29,1994,12,11,975,10.8,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,László Kleinheisler,HUN,"MF,FW",30,1994,13,4,396,4.4,0,2,2,0,0,0,2,0,,,,,,,,0.0,0.45,0.45,0.0,0.45,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Gantschnig,AUT,DF,26,1997,15,8,735,8.2,1,0,1,1,0,0,3,0,,,,,,,,0.12,0.0,0.12,0.12,0.12,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Marco Perchtold,AUT,MF,35,1988,21,12,813,9.0,1,0,1,1,0,0,4,2,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Martin Kreuzriegler,AUT,DF,30,1994,12,8,738,8.2,0,1,1,0,0,0,3,0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Cheukoua,CMR,FW,27,1997,9,2,270,3.0,1,1,2,1,0,0,2,0,,,,,,,,0.33,0.33,0.67,0.33,0.67,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Michael Lang,AUT,"DF,MF",26,1998,14,11,1045,11.6,2,1,3,2,0,0,3,1,,,,,,,,0.17,0.09,0.26,0.17,0.26,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Miloš Jovičić,SRB,DF,29,1995,25,25,2198,24.4,0,0,0,0,0,0,8,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Murat Satin,,MF,27,1996,29,23,2125,23.6,0,4,4,0,0,0,4,0,,,,,,,,0.0,0.17,0.17,0.0,0.17,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Petar Filipović,GER,DF,33,1990,26,26,2190,24.3,1,0,1,1,0,0,6,2,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Romeo Vucic,AUT,FW,21,2003,17,7,698,7.8,2,1,3,2,0,0,1,0,,,,,,,,0.26,0.13,0.39,0.26,0.39,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Sadik Fofana,TOG,MF,21,2003,14,13,1214,13.5,0,0,0,0,0,0,6,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thomas Schiestl,AUT,MF,21,2002,6,3,376,4.2,0,0,0,0,0,0,0,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Thorsten Schriebl,AUT,MF,25,1998,22,10,1046,11.6,0,0,0,0,0,0,6,2,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tio Cipot,SVN,"FW,MF",21,2003,27,17,1507,16.7,7,1,8,7,0,0,4,0,,,,,,,,0.42,0.06,0.48,0.42,0.48,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Tobias Revelant,AUT,FW,20,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Grazer AK,Zeteny Jano,AUT,"MF,FW",19,2005,14,9,751,8.3,1,1,2,1,0,0,3,0,,,,,,,,0.12,0.12,0.24,0.12,0.24,,,,,
AUT-Bundesliga,2024-25,Hartberg,Aaron Schwarz,AUT,MF,20,2004,5,2,183,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Benjamin Markuš,SVN,MF,23,2001,29,22,2100,23.3,0,2,2,0,0,0,5,0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,
AUT-Bundesliga,2024-25,Hartberg,Björn Hardley,NED,DF,21,2002,2,0,24,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Christoph Urdl,AUT,MF,24,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Damjan Kovacevic,AUT,"DF,MF",19,2004,7,6,561,6.2,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Dominik Prokop,AUT,"MF,FW",27,1997,28,22,1708,19.0,3,1,4,2,1,1,4,0,,,,,,,,0.16,0.05,0.21,0.11,0.16,,,,,
AUT-Bundesliga,2024-25,Hartberg,Donis Avdijaj,KVX,"MF,FW",27,1996,29,27,2227,24.7,4,4,8,4,0,0,4,0,,,,,,,,0.16,0.16,0.32,0.16,0.32,,,,,
AUT-Bundesliga,2024-25,Hartberg,Elias Havel,AUT,FW,21,2003,16,6,543,6.0,3,0,3,3,0,0,2,0,,,,,,,,0.5,0.0,0.5,0.5,0.5,,,,,
AUT-Bundesliga,2024-25,Hartberg,Emmanuel Ojukwu,AUT,DF,20,2004,1,1,40,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Fabian Wilfinger,AUT,DF,20,2003,21,19,1710,19.0,1,0,1,1,0,0,6,0,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,
AUT-Bundesliga,2024-25,Hartberg,Furkan Demir,,"DF,MF",19,2004,24,11,1214,13.5,0,3,3,0,0,0,11,1,,,,,,,,0.0,0.22,0.22,0.0,0.22,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jed Drew,AUS,"FW,MF",20,2003,15,6,562,6.2,2,0,2,2,0,0,0,0,,,,,,,,0.32,0.0,0.32,0.32,0.32,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jonas Karner,AUT,MF,19,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Justin Omoregie,AUT,"MF,DF",20,2003,19,14,1111,12.3,0,4,4,0,0,0,5,0,,,,,,,,0.0,0.32,0.32,0.0,0.32,,,,,
AUT-Bundesliga,2024-25,Hartberg,Jürgen Heil,AUT,"DF,MF",27,1997,31,29,2600,28.9,1,0,1,1,0,0,5,0,,,,,,,,0.03,0.0,0.03,0.03,0.03,,,,,
AUT-Bundesliga,2024-25,Hartberg,Luka Marić,AUT,GK,22,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Manuel Pfeifer,AUT,"DF,MF",24,1999,23,23,2028,22.5,0,3,3,0,0,0,3,0,,,,,,,,0.0,0.13,0.13,0.0,0.13,,,,,
AUT-Bundesliga,2024-25,Hartberg,Marco Hoffmnann,AUT,FW,16,2007,22,4,635,7.1,1,1,2,1,0,0,2,0,,,,,,,,0.14,0.14,0.28,0.14,0.28,,,,,
AUT-Bundesliga,2024-25,Hartberg,Mateo Karamatić,AUT,DF,22,2001,22,17,1594,17.7,0,0,0,0,0,0,4,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Maximilian Fillafer,AUT,"MF,FW",19,2004,14,3,382,4.2,2,1,3,2,0,0,1,0,,,,,,,,0.47,0.24,0.71,0.47,0.71,,,,,
AUT-Bundesliga,2024-25,Hartberg,Muharem Huskovic,AUT,"FW,MF",21,2003,12,3,433,4.8,3,0,3,3,0,0,0,0,,,,,,,,0.62,0.0,0.62,0.62,0.62,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Amadin,NED,MF,23,2000,5,1,148,1.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Nelson Prenner,AUT,MF,19,2005,1,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Patrik Mijić,CRO,FW,25,1998,32,25,1961,21.8,12,2,14,10,2,2,1,0,,,,,,,,0.55,0.09,0.64,0.46,0.55,,,,,
AUT-Bundesliga,2024-25,Hartberg,Paul Komposch,AUT,DF,23,2001,30,30,2647,29.4,0,1,1,0,0,0,8,1,,,,,,,,0.0,0.03,0.03,0.0,0.03,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Hofer,AUT,DF,21,2003,6,4,381,4.2,0,0,0,0,0,0,3,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Raphael Sallinger,AUT,GK,28,1995,31,31,2790,31.0,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,
AUT-Bundesliga,2024-25,Hartberg,Tobias Kainz,AUT,MF,31,1992,31,24,2051,22.8,2,0,2,2,0,0,6,1,,,,,,,,0.09,0.0,0.09,0.09,0.09,,,,,
AUT-Bundesliga,2024-25,Hartberg,Youba Diarra,MLI,MF,26,1998,29,20,1713,19.0,2,2,4,2,0,0,8,1,,,,,,,,0.11,0.11,0.21,0.11,0.21,,,,,
AUT-Bundesliga,2024-25,LASK,Adil Taoui,FRA,MF,22,2001,12,2,311,3.5,1,0,1,1,0,0,3,0,,,,,,,,0.29,0.0,0.29,0.29,0.29,,,,,
